Node	Gene	Type	Basal-like_surv	HER2-enriched_surv	Luminal A_surv	Luminal B_surv
A1BG_mrna	A1BG	mrna	died	died	died	died
A1BG_prot	A1BG	prot	died	prot	died	died
A2ML1_mrna	A2ML1	mrna	died	died	died	died
A2ML1_prot	A2ML1	prot	died	died	died	died
A2M_mrna	A2M	mrna	died	died	died	died
A2M_prot	A2M	prot	died	died	died	died
AAAS_mrna	AAAS	mrna	died	died	died	died
AAAS_prot	AAAS	prot	died	died	died	died
AACS_mrna	AACS	mrna	died	died	died	died
AACS_prot	AACS	prot	died	died	died	died
AADAT_mrna	AADAT	mrna	died	died	died	died
AAED1_mrna	AAED1	mrna	died	died	died	died
AAGAB_mrna	AAGAB	mrna	died	died	died	died
AAGAB_prot	AAGAB	prot	prot	died	died	died
AAK1_mrna	AAK1	mrna	died	died	died	died
AAK1_prot	AAK1	prot	died	died	died	died
AAMDC_mrna	AAMDC	mrna	died	died	died	died
AAMDC_prot	AAMDC	prot	died	died	died	died
AAMP_mrna	AAMP	mrna	died	died	died	died
AAMP_prot	AAMP	prot	died	died	died	died
AANAT_mrna	AANAT	mrna	died	died	died	died
AAR2_prot	AAR2	prot	died	died	died	died
AARS2_prot	AARS2	prot	died	died	died	died
AARSD1_mrna	AARSD1	mrna	died	died	died	died
AARSD1_prot	AARSD1	prot	died	died	died	died
AARS_mrna	AARS	mrna	died	died	died	died
AARS_prot	AARS	prot	died	died	died	prot
AASDHPPT_mrna	AASDHPPT	mrna	died	died	died	died
AASDHPPT_prot	AASDHPPT	prot	died	died	died	died
AASS_mrna	AASS	mrna	died	died	died	died
AASS_prot	AASS	prot	died	died	died	died
AATF_prot	AATF	prot	died	died	died	died
AATK_mrna	AATK	mrna	died	died	died	died
ABAT_mrna	ABAT	mrna	died	died	died	died
ABAT_prot	ABAT	prot	died	died	died	prot
ABCA1_mrna	ABCA1	mrna	mrna	died	died	died
ABCA2_mrna	ABCA2	mrna	died	died	died	died
ABCA3_mrna	ABCA3	mrna	died	died	died	died
ABCA4_mrna	ABCA4	mrna	died	died	died	died
ABCA7_mrna	ABCA7	mrna	mrna	died	died	mrna
ABCA8_mrna	ABCA8	mrna	died	died	died	died
ABCB10_mrna	ABCB10	mrna	died	died	died	died
ABCB10_prot	ABCB10	prot	died	died	died	died
ABCB1_mrna	ABCB1	mrna	mrna	died	died	died
ABCB4_mrna	ABCB4	mrna	died	died	died	died
ABCB6_mrna	ABCB6	mrna	died	died	died	died
ABCB6_prot	ABCB6	prot	died	died	died	died
ABCB7_mrna	ABCB7	mrna	died	died	died	died
ABCB7_prot	ABCB7	prot	died	died	died	died
ABCB8_mrna	ABCB8	mrna	died	died	died	died
ABCB8_prot	ABCB8	prot	died	died	died	died
ABCB9_mrna	ABCB9	mrna	died	died	died	died
ABCC11_mrna	ABCC11	mrna	died	died	died	died
ABCC1_prot	ABCC1	prot	died	died	died	died
ABCC2_mrna	ABCC2	mrna	died	died	died	died
ABCC3_mrna	ABCC3	mrna	died	died	died	died
ABCC3_prot	ABCC3	prot	died	died	died	died
ABCC4_mrna	ABCC4	mrna	died	died	died	died
ABCC5_mrna	ABCC5	mrna	died	died	died	died
ABCC8_mrna	ABCC8	mrna	died	died	died	died
ABCD1_mrna	ABCD1	mrna	died	died	died	died
ABCD1_prot	ABCD1	prot	died	died	died	died
ABCD2_mrna	ABCD2	mrna	died	died	died	died
ABCD3_mrna	ABCD3	mrna	mrna	died	died	mrna
ABCD3_prot	ABCD3	prot	died	died	died	died
ABCE1_mrna	ABCE1	mrna	died	died	died	died
ABCE1_prot	ABCE1	prot	died	died	died	died
ABCF1_prot	ABCF1	prot	died	died	died	prot
ABCF2_mrna	ABCF2	mrna	died	died	died	died
ABCF2_prot	ABCF2	prot	died	died	died	died
ABCF3_mrna	ABCF3	mrna	died	died	died	died
ABCF3_prot	ABCF3	prot	died	died	died	died
ABCG1_mrna	ABCG1	mrna	died	died	died	died
ABCG2_mrna	ABCG2	mrna	died	died	died	died
ABHD10_prot	ABHD10	prot	died	died	died	died
ABHD11_prot	ABHD11	prot	died	died	died	died
ABHD12_mrna	ABHD12	mrna	died	died	died	died
ABHD12_prot	ABHD12	prot	died	died	died	died
ABHD13_mrna	ABHD13	mrna	died	died	died	died
ABHD14A-ACY1_mrna	ABHD14A-ACY1	mrna	died	died	died	died
ABHD14A_mrna	ABHD14A	mrna	died	died	died	died
ABHD14B_mrna	ABHD14B	mrna	died	died	died	died
ABHD15_mrna	ABHD15	mrna	died	died	died	died
ABHD16A_prot	ABHD16A	prot	died	died	died	died
ABHD17A_mrna	ABHD17A	mrna	died	died	died	died
ABHD17B_mrna	ABHD17B	mrna	died	died	died	died
ABHD17C_mrna	ABHD17C	mrna	died	died	died	died
ABHD1_mrna	ABHD1	mrna	died	died	died	died
ABHD2_mrna	ABHD2	mrna	died	died	died	died
ABHD3_mrna	ABHD3	mrna	died	died	died	died
ABHD4_prot	ABHD4	prot	died	died	died	died
ABHD5_mrna	ABHD5	mrna	died	died	died	died
ABHD5_prot	ABHD5	prot	died	died	died	died
ABHD6_mrna	ABHD6	mrna	died	died	died	died
ABHD8_mrna	ABHD8	mrna	died	died	died	died
ABI1_mrna	ABI1	mrna	died	died	died	died
ABI1_prot	ABI1	prot	died	died	died	died
ABI2_prot	ABI2	prot	died	died	died	died
ABI3BP_mrna	ABI3BP	mrna	died	died	died	mrna
ABI3BP_prot	ABI3BP	prot	died	died	died	died
ABI3_prot	ABI3	prot	died	died	died	died
ABL1_mrna	ABL1	mrna	died	died	died	died
ABL1_prot	ABL1	prot	died	died	died	died
ABL2_mrna	ABL2	mrna	died	died	died	died
ABL2_prot	ABL2	prot	died	died	died	died
ABLIM1_prot	ABLIM1	prot	died	died	died	died
ABLIM2_prot	ABLIM2	prot	died	died	died	died
ABLIM3_mrna	ABLIM3	mrna	died	died	died	died
ABLIM3_prot	ABLIM3	prot	died	died	died	died
ABR_prot	ABR	prot	died	died	died	died
ABT1_mrna	ABT1	mrna	died	died	died	died
ABT1_prot	ABT1	prot	died	died	died	died
ABTB1_mrna	ABTB1	mrna	died	died	died	died
ABTB2_mrna	ABTB2	mrna	died	died	died	died
ACAA1_mrna	ACAA1	mrna	died	died	died	died
ACAA1_prot	ACAA1	prot	died	died	died	prot
ACAA2_prot	ACAA2	prot	died	died	died	died
ACACA_mrna	ACACA	mrna	died	died	died	died
ACACA_prot	ACACA	prot	died	died	died	died
ACACB_mrna	ACACB	mrna	died	died	died	died
ACACB_prot	ACACB	prot	died	died	died	died
ACAD10_prot	ACAD10	prot	died	died	died	died
ACAD8_prot	ACAD8	prot	died	died	died	died
ACAD9_mrna	ACAD9	mrna	died	died	died	died
ACAD9_prot	ACAD9	prot	died	died	died	prot
ACADM_mrna	ACADM	mrna	died	died	died	died
ACADM_prot	ACADM	prot	died	died	died	died
ACADSB_mrna	ACADSB	mrna	died	died	died	died
ACADSB_prot	ACADSB	prot	died	died	died	died
ACADS_prot	ACADS	prot	died	died	died	died
ACADVL_mrna	ACADVL	mrna	died	died	died	died
ACADVL_prot	ACADVL	prot	died	died	died	died
ACAN_mrna	ACAN	mrna	died	died	died	died
ACAN_prot	ACAN	prot	died	died	died	died
ACAP1_mrna	ACAP1	mrna	died	died	died	died
ACAP1_prot	ACAP1	prot	died	died	died	died
ACAP2_prot	ACAP2	prot	died	died	died	died
ACAT1_mrna	ACAT1	mrna	died	died	died	died
ACAT1_prot	ACAT1	prot	died	died	died	died
ACAT2_mrna	ACAT2	mrna	died	died	mrna	died
ACAT2_prot	ACAT2	prot	died	died	died	died
ACBD3_mrna	ACBD3	mrna	died	died	died	died
ACBD3_prot	ACBD3	prot	died	died	died	died
ACBD4_mrna	ACBD4	mrna	died	died	died	died
ACBD5_mrna	ACBD5	mrna	died	died	died	died
ACBD5_prot	ACBD5	prot	died	died	died	died
ACBD6_mrna	ACBD6	mrna	died	died	died	died
ACBD6_prot	ACBD6	prot	died	died	died	died
ACCS_mrna	ACCS	mrna	died	died	died	died
ACD_mrna	ACD	mrna	died	died	died	died
ACD_prot	ACD	prot	died	died	died	died
ACER2_mrna	ACER2	mrna	died	died	died	died
ACER3_mrna	ACER3	mrna	died	died	died	died
ACE_mrna	ACE	mrna	died	died	died	died
ACE_prot	ACE	prot	died	died	died	died
ACHE_mrna	ACHE	mrna	died	died	died	died
ACIN1_mrna	ACIN1	mrna	died	died	died	died
ACIN1_prot	ACIN1	prot	died	died	died	died
ACKR2_mrna	ACKR2	mrna	died	died	died	died
ACKR3_mrna	ACKR3	mrna	died	died	died	died
ACLY_mrna	ACLY	mrna	died	died	died	died
ACLY_prot	ACLY	prot	died	died	died	prot
ACO1_mrna	ACO1	mrna	died	died	died	died
ACO1_prot	ACO1	prot	died	died	died	died
ACO2_mrna	ACO2	mrna	died	died	died	died
ACO2_prot	ACO2	prot	died	died	died	prot
ACOT11_mrna	ACOT11	mrna	died	died	died	died
ACOT11_prot	ACOT11	prot	died	died	died	died
ACOT13_mrna	ACOT13	mrna	died	died	died	died
ACOT13_prot	ACOT13	prot	died	died	died	died
ACOT1_prot	ACOT1	prot	died	died	died	died
ACOT2_prot	ACOT2	prot	died	died	died	died
ACOT7_mrna	ACOT7	mrna	died	died	mrna	died
ACOT7_prot	ACOT7	prot	died	died	died	died
ACOT8_mrna	ACOT8	mrna	died	died	died	died
ACOT8_prot	ACOT8	prot	died	died	died	died
ACOT9_prot	ACOT9	prot	died	died	died	prot
ACOX1_mrna	ACOX1	mrna	died	died	died	died
ACOX1_prot	ACOX1	prot	died	prot	died	died
ACOX2_mrna	ACOX2	mrna	mrna	died	died	died
ACOX3_mrna	ACOX3	mrna	died	died	died	died
ACOX3_prot	ACOX3	prot	died	died	died	died
ACOXL_mrna	ACOXL	mrna	died	died	died	died
ACP1_prot	ACP1	prot	died	died	died	died
ACP2_prot	ACP2	prot	died	died	died	died
ACP5_mrna	ACP5	mrna	died	died	died	died
ACP5_prot	ACP5	prot	died	died	died	died
ACP6_prot	ACP6	prot	died	died	died	died
ACPP_mrna	ACPP	mrna	mrna	died	died	died
ACRV1_mrna	ACRV1	mrna	died	died	died	died
ACSBG2_mrna	ACSBG2	mrna	died	died	died	died
ACSF2_mrna	ACSF2	mrna	died	died	died	died
ACSF2_prot	ACSF2	prot	died	died	died	died
ACSF3_mrna	ACSF3	mrna	died	died	died	died
ACSF3_prot	ACSF3	prot	died	died	died	died
ACSL1_mrna	ACSL1	mrna	died	died	died	died
ACSL1_prot	ACSL1	prot	died	died	died	died
ACSL3_mrna	ACSL3	mrna	died	died	died	died
ACSL3_prot	ACSL3	prot	died	died	died	died
ACSL4_prot	ACSL4	prot	died	died	died	died
ACSM1_prot	ACSM1	prot	died	died	died	died
ACSS1_mrna	ACSS1	mrna	died	died	died	died
ACSS1_prot	ACSS1	prot	died	died	died	died
ACSS2_mrna	ACSS2	mrna	died	died	died	died
ACSS2_prot	ACSS2	prot	died	died	died	died
ACTA1_mrna	ACTA1	mrna	died	died	died	died
ACTA1_prot	ACTA1	prot	died	died	died	prot
ACTA2_mrna	ACTA2	mrna	died	died	died	died
ACTA2_prot	ACTA2	prot	died	died	died	died
ACTBL2_prot	ACTBL2	prot	died	died	died	died
ACTB_mrna	ACTB	mrna	died	died	died	died
ACTB_prot	ACTB	prot	died	died	died	died
ACTC1_mrna	ACTC1	mrna	died	died	died	died
ACTG1_mrna	ACTG1	mrna	died	died	died	died
ACTG1_prot	ACTG1	prot	died	died	died	died
ACTG2_mrna	ACTG2	mrna	died	died	died	died
ACTL6A_mrna	ACTL6A	mrna	died	died	died	died
ACTL6A_prot	ACTL6A	prot	died	died	died	died
ACTN1_mrna	ACTN1	mrna	died	died	died	died
ACTN1_prot	ACTN1	prot	died	died	died	died
ACTN2_mrna	ACTN2	mrna	died	died	died	died
ACTN4_prot	ACTN4	prot	died	died	died	died
ACTR10_mrna	ACTR10	mrna	died	died	died	died
ACTR10_prot	ACTR10	prot	died	died	died	died
ACTR1A_mrna	ACTR1A	mrna	died	died	died	died
ACTR1A_prot	ACTR1A	prot	died	died	died	died
ACTR1B_mrna	ACTR1B	mrna	died	died	died	died
ACTR1B_prot	ACTR1B	prot	died	died	died	died
ACTR2_mrna	ACTR2	mrna	died	died	died	died
ACTR2_prot	ACTR2	prot	died	died	died	died
ACTR3B_mrna	ACTR3B	mrna	died	died	died	died
ACTR3B_prot	ACTR3B	prot	died	died	died	died
ACTR3_mrna	ACTR3	mrna	died	died	died	died
ACTR3_prot	ACTR3	prot	died	died	died	died
