Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.846638	709	555	0.782793	2699	3
GO:0001701	in utero embryonic development	0.272741	210	171	0.814286	184	1
GO:0001764	neuron migration	0.0356773	105	71	0.67619	21	1
GO:0001822	kidney development	0.020545	89	67	0.752809	12	1
GO:0006338	chromatin remodeling	0.00139226	91	81	0.89011	274	4
GO:0006351	transcription, DNA-templated	3.72696e-05	1806	1245	0.689369	5493	24
GO:0006355	regulation of transcription, DNA-templated	0.184344	1289	843	0.653995	1738	5
GO:0006366	transcription from RNA polymerase II promoter	0.0118598	543	391	0.720074	1749	8
GO:0006367	transcription initiation from RNA polymerase II promoter	0.000103521	250	226	0.904	1296	10
GO:0006810	transport	0.000139484	303	169	0.557756	57	3
GO:0006886	intracellular protein transport	0.0229933	231	192	0.831169	348	3
GO:0006892	post-Golgi vesicle-mediated transport	0.164698	55	51	0.927273	104	1
GO:0006904	vesicle docking involved in exocytosis	0.0171503	34	29	0.852941	10	1
GO:0006952	defense response	0.00517617	58	35	0.603448	3	1
GO:0006959	humoral immune response	0.00861211	57	30	0.526316	5	1
GO:0007165	signal transduction	2.57895e-11	982	684	0.696538	1488	19
GO:0007204	positive regulation of cytosolic calcium ion concentration	0.0154486	118	67	0.567797	9	1
GO:0007219	Notch signaling pathway	0.310759	162	128	0.790123	215	1
GO:0007264	small GTPase mediated signal transduction	0.912373	639	516	0.807512	2332	2
GO:0007267	cell-cell signaling	0.000611668	247	141	0.57085	21	2
GO:0007411	axon guidance	0.772469	533	403	0.756098	1626	2
GO:0007507	heart development	0.000235572	156	120	0.769231	68	3
GO:0007596	blood coagulation	0.571119	486	391	0.804527	1107	2
GO:0008283	cell proliferation	0.0473094	352	282	0.801136	464	3
GO:0008284	positive regulation of cell proliferation	9.65606e-11	445	313	0.703371	491	12
GO:0008285	negative regulation of cell proliferation	2.3886e-09	385	310	0.805195	653	12
GO:0008584	male gonad development	7.53732e-08	82	52	0.634146	23	4
GO:0009615	response to virus	0.0732986	108	85	0.787037	44	1
GO:0009653	anatomical structure morphogenesis	0.0323348	123	69	0.560976	19	1
GO:0009791	post-embryonic development	0.0154486	79	59	0.746835	9	1
GO:0009887	organ morphogenesis	0.0472856	92	65	0.706522	28	1
GO:0009967	positive regulation of signal transduction	0.00013273	56	44	0.785714	10	2
GO:0010332	response to gamma radiation	0.0571247	33	29	0.878788	34	1
GO:0010467	gene expression	0.957821	854	779	0.912178	9889	11
GO:0010595	positive regulation of endothelial cell migration	0.000194225	42	37	0.880952	12	2
GO:0010628	positive regulation of gene expression	1.39896e-06	216	170	0.787037	196	6
GO:0010629	negative regulation of gene expression	0.00268411	115	94	0.817391	44	2
GO:0010863	positive regulation of phospholipase C activity	0.00517617	8	8	1	3	1
GO:0010975	regulation of neuron projection development	0.00689562	14	7	0.5	4	1
GO:0014065	phosphatidylinositol 3-kinase signaling	0.0472856	30	22	0.733333	28	1
GO:0016032	viral process	0.99997	559	530	0.948122	5905	1
GO:0016049	cell growth	4.84945e-06	59	46	0.779661	19	3
GO:0016192	vesicle-mediated transport	0.0860385	109	86	0.788991	52	1
GO:0030154	cell differentiation	0.0440386	445	246	0.552809	192	2
GO:0030218	erythrocyte differentiation	8.27765e-05	42	38	0.904762	8	2
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0812816	15	14	0.933333	49	1
GO:0030520	intracellular estrogen receptor signaling pathway	0.0188491	19	14	0.736842	11	1
GO:0030521	androgen receptor signaling pathway	4.50906e-12	40	39	0.975	89	8
GO:0030522	intracellular receptor signaling pathway	0.0272995	38	29	0.763158	16	1
GO:0030850	prostate gland development	2.04072e-08	7	6	0.857143	4	3
GO:0031929	TOR signaling	0.0256152	14	13	0.928571	15	1
GO:0032355	response to estradiol	3.42498e-07	100	80	0.8	81	5
GO:0032689	negative regulation of interferon-gamma production	0.00861211	28	20	0.714286	5	1
GO:0035162	embryonic hemopoiesis	0.00861211	20	17	0.85	5	1
GO:0035457	cellular response to interferon-alpha	0.00689562	9	9	1	4	1
GO:0042327	positive regulation of phosphorylation	0.0120362	26	22	0.846154	7	1
GO:0042472	inner ear morphogenesis	0.0103256	56	35	0.625	6	1
GO:0042493	response to drug	0.026534	308	239	0.775974	368	3
GO:0042981	regulation of apoptotic process	0.807933	216	174	0.805556	951	1
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	0.0272995	36	30	0.833333	16	1
GO:0043401	steroid hormone mediated signaling pathway	8.10463e-15	56	43	0.767857	42	8
