Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000082	G1/S transition of mitotic cell cycle	0.15329	153	143	0.934641	1180	4
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.950205	709	555	0.782793	2699	2
GO:0000278	mitotic cell cycle	0	422	392	0.92891	3719	53
GO:0000281	mitotic cytokinesis	1.48885e-06	25	23	0.92	13	3
GO:0001501	skeletal system development	0.0343633	137	93	0.678832	20	1
GO:0001701	in utero embryonic development	0.0415818	210	171	0.814286	184	2
GO:0006260	DNA replication	0.65946	130	123	0.946154	615	1
GO:0006351	transcription, DNA-templated	0.999943	1806	1245	0.689369	5493	1
GO:0006355	regulation of transcription, DNA-templated	0.360846	1289	843	0.653995	1738	4
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.682547	386	274	0.709845	655	1
GO:0006366	transcription from RNA polymerase II promoter	0.590486	543	391	0.720074	1749	3
GO:0006953	acute-phase response	0.00154892	38	30	0.789474	33	2
GO:0006954	inflammatory response	1.99238e-05	338	239	0.707101	309	6
GO:0007049	cell cycle	0.016938	187	166	0.887701	113	2
GO:0007067	mitotic nuclear division	0	233	213	0.914163	629	19
GO:0007094	mitotic spindle assembly checkpoint	0.000184384	33	32	0.969697	158	4
GO:0007229	integrin-mediated signaling pathway	0.182188	79	72	0.911392	115	1
GO:0007249	I-kappaB kinase/NF-kappaB signaling	0.185044	49	43	0.877551	117	1
GO:0007264	small GTPase mediated signal transduction	0.000948825	639	516	0.807512	2332	12
GO:0007283	spermatogenesis	0.156026	368	199	0.540761	97	1
GO:0008150	biological_process	0.145628	650	369	0.567692	90	1
GO:0008284	positive regulation of cell proliferation	0.211941	445	313	0.703371	491	2
GO:0010467	gene expression	1	854	779	0.912178	9889	1
GO:0016032	viral process	0.999973	559	530	0.948122	5905	1
GO:0016567	protein ubiquitination	0.00172535	353	283	0.8017	484	5
GO:0030182	neuron differentiation	0.0138892	95	58	0.610526	8	1
GO:0030198	extracellular matrix organization	0.0400565	308	240	0.779221	429	3
GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	5.61529e-05	81	79	0.975309	956	9
GO:0031581	hemidesmosome assembly	0.0190479	12	12	1	11	1
GO:0032496	response to lipopolysaccharide	0.0107728	153	120	0.784314	89	2
GO:0034976	response to endoplasmic reticulum stress	0.0427687	66	57	0.863636	25	1
