Threshold	CVerror	CVerror_Basal-like	CVerror_HER2-enriched	CVerror_Luminal A	CVerror_Luminal B	EdgesSelected
0	0.401061	0.383333	0.5	0.366667	0.366667	163160
0.249906	0.391061	0.383333	0.5	0.333333	0.366667	162317
0.499812	0.38197	0.383333	0.5	0.3	0.366667	157024
0.749718	0.392323	0.433333	0.45	0.3	0.391667	145674
0.999624	0.383232	0.383333	0.5	0.266667	0.391667	129025
1.24953	0.372879	0.35	0.5	0.266667	0.391667	109257
1.49944	0.349192	0.3	0.55	0.233333	0.35	88765
1.74934	0.372525	0.3	0.55	0.283333	0.383333	69492
1.99925	0.370859	0.3	0.5	0.316667	0.383333	52866
2.24915	0.380859	0.266667	0.5	0.316667	0.45	39371
2.49906	0.372525	0.233333	0.5	0.316667	0.458333	28969
2.74897	0.35697	0.133333	0.65	0.283333	0.458333	21197
2.99887	0.325859	0.133333	0.65	0.216667	0.425	15574
3.24878	0.326768	0.133333	0.65	0.216667	0.425	11538
3.49868	0.315025	0.133333	0.7	0.216667	0.366667	8631
3.74859	0.306692	0.133333	0.7	0.183333	0.366667	6461
3.9985	0.325783	0.133333	0.8	0.183333	0.366667	4831
4.2484	0.335783	0.133333	0.85	0.183333	0.366667	3552
4.49831	0.317449	0.133333	0.85	0.15	0.333333	2529
4.74821	0.298359	0.0833333	0.85	0.183333	0.266667	1702
4.99812	0.290379	0.0833333	0.85	0.183333	0.233333	1073
5.24803	0.290379	0.0833333	0.85	0.183333	0.233333	630
5.49793	0.288359	0.0333333	0.85	0.183333	0.266667	358
5.74784	0.316692	0.0333333	0.85	0.216667	0.325	185
5.99774	0.316692	0	0.8	0.25	0.358333	92
6.24765	0.365985	0	0.8	0.383333	0.391667	47
6.49756	0.413687	0	0.75	0.5	0.458333	22
6.74746	0.41202	0.0333333	0.55	0.466667	0.575	10
6.99737	0.515732	0.183333	0.5	0.533333	0.733333	3
7.24727	1	1	1	1	1	0
