Edge	NodeA	NodeB	InteractionType	Basal-like_dikNew	Basal-like_sigEdge	Basal-like_dir	Basal-like_absdiknew	HER2-enriched_dikNew	HER2-enriched_sigEdge	HER2-enriched_dir	HER2-enriched_absdiknew	Luminal A_dikNew	Luminal A_sigEdge	Luminal A_dir	Luminal A_absdiknew	Luminal B_dikNew	Luminal B_sigEdge	Luminal B_dir	Luminal B_absdiknew
A1BG_prot_GRB7_prot	A1BG_prot	GRB7_prot	ppi	-0	died	died	0	0.0108378	ppi	up	0.0108378	-0	died	died	0	-0	died	died	0
AARS_prot_HSP90AB1_prot	AARS_prot	HSP90AB1_prot	ppi	0	died	died	0	0	died	died	0	-0.079648	ppi	down	0.079648	0	died	died	0
ABAT_prot_ESR1_prot	ABAT_prot	ESR1_prot	ppi	-0	died	died	0	-0	died	died	0	0.125189	ppi	up	0.125189	0	died	died	0
ABT1_prot_ATAD3A_mrna	ABT1_prot	ATAD3A_mrna	tf	0	died	died	0	0	died	died	0	-0.0850959	tf	down	0.0850959	-0	died	died	0
ABT1_prot_C8orf76_mrna	ABT1_prot	C8orf76_mrna	tf	0	died	died	0	0	died	died	0	-0.453131	tf	down	0.453131	0	died	died	0
ABT1_prot_CDCA8_mrna	ABT1_prot	CDCA8_mrna	tf	0	died	died	0	0	died	died	0	-0.729152	tf	down	0.729152	0	died	died	0
ABT1_prot_MCM4_mrna	ABT1_prot	MCM4_mrna	tf	0	died	died	0	0	died	died	0	-0.214702	tf	down	0.214702	0	died	died	0
ABT1_prot_RANBP1_mrna	ABT1_prot	RANBP1_mrna	tf	0	died	died	0	0	died	died	0	-0.434626	tf	down	0.434626	-0	died	died	0
ABT1_prot_RCC1_mrna	ABT1_prot	RCC1_mrna	tf	0	died	died	0	0	died	died	0	-0.116689	tf	down	0.116689	0	died	died	0
ABT1_prot_SNRPA1_mrna	ABT1_prot	SNRPA1_mrna	tf	0	died	died	0	0	died	died	0	-0.0614601	tf	down	0.0614601	-0	died	died	0
ACACA_prot_AKR1B10_prot	ACACA_prot	AKR1B10_prot	ppi	-0	died	died	0	0.143216	ppi	up	0.143216	-0	died	died	0	-0	died	died	0
ACTB_prot_ERBB2_prot	ACTB_prot	ERBB2_prot	ppi	-0	died	died	0	0.0329218	ppi	up	0.0329218	-0	died	died	0	-0	died	died	0
AGR3_prot_LYPD3_prot	AGR3_prot	LYPD3_prot	ppi	-0	died	died	0	-0	died	died	0	0.109637	ppi	up	0.109637	0	died	died	0
AHSA1_prot_DDX39A_prot	AHSA1_prot	DDX39A_prot	ppi	0	died	died	0	0	died	died	0	-0.212088	ppi	down	0.212088	0	died	died	0
AHSA1_prot_HSP90AB1_prot	AHSA1_prot	HSP90AB1_prot	ppi	0	died	died	0	0	died	died	0	-0.225903	ppi	down	0.225903	0	died	died	0
AKT2_prot_APPL1_prot	AKT2_prot	APPL1_prot	ppi	-0	died	died	0	-0	died	died	0	0.164259	ppi	up	0.164259	-0	died	died	0
AKT2_prot_UBE3B_mrna	AKT2_prot	UBE3B_mrna	tf	-0	died	died	0	-0	died	died	0	0.101055	tf	up	0.101055	0	died	died	0
AKT2_prot_ZER1_mrna	AKT2_prot	ZER1_mrna	tf	-0	died	died	0	-0	died	died	0	0.022017	tf	up	0.022017	0	died	died	0
AMPH_prot_MAPT_prot	AMPH_prot	MAPT_prot	ppi	-0	died	died	0	-0	died	died	0	0.0114661	ppi	up	0.0114661	0	died	died	0
ANKRD17_prot_BRCA2_mrna	ANKRD17_prot	BRCA2_mrna	tf	0	died	died	0	0	died	died	0	-0.187429	tf	down	0.187429	0	died	died	0
ANKRD17_prot_CHEK1_mrna	ANKRD17_prot	CHEK1_mrna	tf	0	died	died	0	0	died	died	0	-0.812244	tf	down	0.812244	0	died	died	0
ANKRD17_prot_ESCO2_mrna	ANKRD17_prot	ESCO2_mrna	tf	0	died	died	0	0	died	died	0	-0.058113	tf	down	0.058113	0	died	died	0
ANKRD17_prot_GART_mrna	ANKRD17_prot	GART_mrna	tf	0	died	died	0	0	died	died	0	-0.13268	tf	down	0.13268	0	died	died	0
ANKRD17_prot_KIAA1524_mrna	ANKRD17_prot	KIAA1524_mrna	tf	0	died	died	0	0	died	died	0	-0.459641	tf	down	0.459641	0	died	died	0
ANKRD17_prot_MND1_mrna	ANKRD17_prot	MND1_mrna	tf	0	died	died	0	0	died	died	0	-0.95677	tf	down	0.95677	0	died	died	0
ANKRD17_prot_PLK4_mrna	ANKRD17_prot	PLK4_mrna	tf	0	died	died	0	0	died	died	0	-0.396445	tf	down	0.396445	0	died	died	0
ANKRD17_prot_PRIM2_mrna	ANKRD17_prot	PRIM2_mrna	tf	0	died	died	0	0	died	died	0	-0.466569	tf	down	0.466569	0	died	died	0
ANKRD17_prot_WDHD1_mrna	ANKRD17_prot	WDHD1_mrna	tf	0	died	died	0	0	died	died	0	-0.0986452	tf	down	0.0986452	0	died	died	0
ANLN_prot_ACOT7_mrna	ANLN_prot	ACOT7_mrna	tf	0	died	died	0	-0	died	died	0	-0.0302816	tf	down	0.0302816	0	died	died	0
ANLN_prot_AURKA_mrna	ANLN_prot	AURKA_mrna	tf	0	died	died	0	0	died	died	0	-0.45435	tf	down	0.45435	0	died	died	0
ANLN_prot_BUB1B_mrna	ANLN_prot	BUB1B_mrna	tf	0	died	died	0	-0	died	died	0	-0.00762805	tf	down	0.00762805	0	died	died	0
ANLN_prot_BUB1_mrna	ANLN_prot	BUB1_mrna	tf	0	died	died	0	-0	died	died	0	-0.1216	tf	down	0.1216	0	died	died	0
ANLN_prot_CCNA2_mrna	ANLN_prot	CCNA2_mrna	tf	0	died	died	0	-0	died	died	0	-0.357626	tf	down	0.357626	0	died	died	0
ANLN_prot_CCNB1_mrna	ANLN_prot	CCNB1_mrna	tf	0	died	died	0	0	died	died	0	-0.0386002	tf	down	0.0386002	0	died	died	0
ANLN_prot_CCNE2_mrna	ANLN_prot	CCNE2_mrna	tf	0	died	died	0	0	died	died	0	-0.0673567	tf	down	0.0673567	0	died	died	0
