Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000165	MAPK cascade	0.200498	250	199	0.796	922	1
GO:0000186	activation of MAPKK activity	0.203217	229	190	0.829694	936	1
GO:0001934	positive regulation of protein phosphorylation	0.0232091	123	101	0.821138	97	1
GO:0006351	transcription, DNA-templated	0.0105006	1806	1279	0.708195	5544	5
GO:0006367	transcription initiation from RNA polymerase II promoter	0.270133	250	227	0.908	1296	1
GO:0006468	protein phosphorylation	1.34361e-05	453	366	0.807947	592	4
GO:0007165	signal transduction	1.59934e-06	982	687	0.699593	1495	6
GO:0007166	cell surface receptor signaling pathway	0.0168021	277	146	0.527076	70	1
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	0.0096352	93	66	0.709677	40	1
GO:0007173	epidermal growth factor receptor signaling pathway	4.72237e-08	321	268	0.834891	1410	7
GO:0007264	small GTPase mediated signal transduction	0.0188202	639	520	0.813772	2333	3
GO:0007265	Ras protein signal transduction	0.0252775	241	204	0.846473	1017	2
GO:0007411	axon guidance	1.23561e-07	533	407	0.763602	1626	7
GO:0007596	blood coagulation	0.029646	486	393	0.808642	1109	2
GO:0008283	cell proliferation	1.07989e-07	352	284	0.806818	468	5
GO:0008286	insulin receptor signaling pathway	0.257385	301	252	0.837209	1225	1
GO:0008543	fibroblast growth factor receptor signaling pathway	0.0351282	288	237	0.822917	1217	2
GO:0010467	gene expression	0.217922	854	781	0.91452	9931	4
GO:0014065	phosphatidylinositol 3-kinase signaling	0.00675418	30	22	0.733333	28	1
GO:0018108	peptidyl-tyrosine phosphorylation	0.0217889	119	100	0.840336	91	1
GO:0030335	positive regulation of cell migration	0.0276933	148	127	0.858108	116	1
GO:0032886	regulation of microtubule-based process	0.00169273	13	13	1	7	1
GO:0038095	Fc-epsilon receptor signaling pathway	0.0515175	314	258	0.821656	1506	2
GO:0043406	positive regulation of MAP kinase activity	0.00217586	50	38	0.76	9	1
GO:0045087	innate immune response	1.81641e-09	849	641	0.755006	3965	11
GO:0045765	regulation of angiogenesis	0.00169273	27	22	0.814815	7	1
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.669261	951	702	0.73817	4509	1
GO:0045945	positive regulation of transcription from RNA polymerase III promoter	0.00120938	11	10	0.909091	5	1
GO:0046777	protein autophosphorylation	0.000393749	164	137	0.835366	119	2
GO:0048010	vascular endothelial growth factor receptor signaling pathway	0.00411356	280	241	0.860714	1330	3
GO:0048011	neurotrophin TRK receptor signaling pathway	0.00852881	394	333	0.845178	1734	3
GO:0048015	phosphatidylinositol-mediated signaling	0.000640352	120	96	0.8	152	2
GO:0050679	positive regulation of epithelial cell proliferation	0.000967618	60	40	0.666667	4	1
GO:0050900	leukocyte migration	0.0361347	114	94	0.824561	152	1
KEGG:01100	Metabolic pathways	0.249925	1130	859	0.760177	1184	1
KEGG:04012	ErbB signaling pathway	0.0658004	87	75	0.862069	281	1
KEGG:04020	Calcium signaling pathway	0.0120298	185	122	0.659459	50	1
KEGG:04066	HIF-1 signaling pathway	0.0546384	103	92	0.893204	232	1
KEGG:04510	Focal adhesion	0.009276	207	176	0.850242	597	2
KEGG:04520	Adherens junction	0.000762537	73	64	0.876712	166	2
KEGG:05200	Pathways in cancer	1.66608e-08	401	329	0.820449	1900	8
KEGG:05205	Proteoglycans in cancer	0.000429544	204	175	0.857843	602	3
KEGG:05212	Pancreatic cancer	0.00140274	70	67	0.957143	226	2
KEGG:05213	Endometrial cancer	0.000393749	52	47	0.903846	119	2
KEGG:05215	Prostate cancer	3.09752e-14	89	77	0.865169	356	8
KEGG:05219	Bladder cancer	0.000156678	45	41	0.911111	75	2
