Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	0.00854848	37	34	0.918919	23	3
GO:0000082	G1/S transition of mitotic cell cycle	0	153	143	0.934641	1180	129
GO:0000086	G2/M transition of mitotic cell cycle	1.37527e-06	140	135	0.964286	303	20
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1	709	562	0.792666	2731	14
GO:0000165	MAPK cascade	0.999999	250	199	0.796	922	2
GO:0000186	activation of MAPKK activity	1	229	190	0.829694	936	2
GO:0000209	protein polyubiquitination	0.999999	137	125	0.912409	881	2
GO:0000278	mitotic cell cycle	0	422	393	0.93128	3734	689
GO:0000281	mitotic cytokinesis	7.37821e-05	25	23	0.92	13	4
GO:0000398	mRNA splicing, via spliceosome	1	196	187	0.954082	2029	3
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.385329	22	21	0.954545	26	1
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0893384	8	8	1	5	1
GO:0000722	telomere maintenance via recombination	3.01598e-06	27	27	1	101	11
GO:0000723	telomere maintenance	0.000862664	66	54	0.818182	218	12
GO:0000731	DNA synthesis involved in DNA repair	0.186076	10	10	1	11	1
GO:0000733	DNA strand renaturation	0.0010184	9	9	1	3	2
GO:0000910	cytokinesis	0.00109313	50	46	0.92	25	4
GO:0001649	osteoblast differentiation	0.11596	103	87	0.84466	64	3
GO:0001701	in utero embryonic development	0.256918	210	172	0.819048	184	5
GO:0001833	inner cell mass cell proliferation	0.0546027	14	13	0.928571	3	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	1	121	111	0.917355	965	2
GO:0002230	positive regulation of defense response to virus by host	0.258795	122	76	0.622951	16	1
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	0.999992	97	91	0.938144	775	2
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	0.999986	75	70	0.933333	742	2
GO:0006144	purine nucleobase metabolic process	0.186076	37	31	0.837838	11	1
GO:0006259	DNA metabolic process	0.0049062	23	21	0.913043	6	2
GO:0006260	DNA replication	0	130	124	0.953846	624	159
GO:0006268	DNA unwinding involved in DNA replication	0	10	10	1	24	17
GO:0006270	DNA replication initiation	0	28	26	0.928571	111	48
GO:0006271	DNA strand elongation involved in DNA replication	0	33	33	1	275	90
GO:0006275	regulation of DNA replication	0.072133	14	12	0.857143	4	1
GO:0006281	DNA repair	5.96436e-06	290	268	0.924138	1510	54
GO:0006283	transcription-coupled nucleotide-excision repair	0.303024	46	45	0.978261	197	5
GO:0006284	base-excision repair	2.64526e-05	48	47	0.979167	150	12
GO:0006289	nucleotide-excision repair	0.398324	69	63	0.913043	274	6
GO:0006297	nucleotide-excision repair, DNA gap filling	0.00550416	17	17	1	61	5
GO:0006298	mismatch repair	0.0296329	25	24	0.96	63	4
GO:0006302	double-strand break repair	0.357544	64	62	0.96875	212	5
GO:0006306	DNA methylation	0.349822	23	22	0.956522	23	1
GO:0006310	DNA recombination	0.359445	71	59	0.830986	115	3
GO:0006325	chromatin organization	1	259	204	0.787645	1071	3
GO:0006334	nucleosome assembly	0.00126899	131	72	0.549618	113	8
GO:0006338	chromatin remodeling	0.9635	91	81	0.89011	274	2
GO:0006351	transcription, DNA-templated	1	1806	1279	0.708195	5544	24
GO:0006355	regulation of transcription, DNA-templated	1	1289	873	0.677269	1753	9
GO:0006366	transcription from RNA polymerase II promoter	1	543	395	0.72744	1765	2
GO:0006367	transcription initiation from RNA polymerase II promoter	1	250	227	0.908	1296	1
GO:0006396	RNA processing	0.516456	75	67	0.893333	93	2
GO:0006412	translation	1	231	218	0.943723	2623	1
GO:0006417	regulation of translation	0.407916	58	47	0.810345	28	1
GO:0006457	protein folding	0.991574	165	141	0.854545	255	1
GO:0006461	protein complex assembly	0.444434	111	99	0.891892	81	2
GO:0006521	regulation of cellular amino acid metabolic process	0.999961	51	48	0.941176	682	2
GO:0006915	apoptotic process	1	600	504	0.84	2115	12
GO:0006974	cellular response to DNA damage stimulus	0.0999041	191	172	0.900524	337	10
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.999983	66	62	0.939394	729	2
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	0.215983	14	13	0.928571	13	1
GO:0007049	cell cycle	3.08704e-07	187	169	0.903743	117	13
GO:0007050	cell cycle arrest	0.983455	141	122	0.865248	219	1
GO:0007059	chromosome segregation	0.668614	66	63	0.954545	59	1
GO:0007067	mitotic nuclear division	0	233	214	0.918455	636	93
GO:0007076	mitotic chromosome condensation	0	12	11	0.916667	19	14
GO:0007077	mitotic nuclear envelope disassembly	0.0598338	42	40	0.952381	113	5
GO:0007080	mitotic metaphase plate congression	3.89968e-06	33	32	0.969697	36	7
GO:0007093	mitotic cell cycle checkpoint	0.32502	30	28	0.933333	21	1
GO:0007094	mitotic spindle assembly checkpoint	0.00968527	33	32	0.969697	158	8
GO:0007165	signal transduction	1	982	687	0.699593	1495	2
GO:0007173	epidermal growth factor receptor signaling pathway	1	321	268	0.834891	1410	2
GO:0007219	Notch signaling pathway	0.982167	162	128	0.790123	215	1
GO:0007264	small GTPase mediated signal transduction	0.016966	639	520	0.813772	2333	58
GO:0007265	Ras protein signal transduction	0.999999	241	204	0.846473	1017	3
GO:0007275	multicellular organismal development	0.0720776	422	241	0.57109	52	3
GO:0007283	spermatogenesis	0.115726	368	201	0.546196	100	4
GO:0007411	axon guidance	1	533	407	0.763602	1626	4
GO:0007596	blood coagulation	1	486	393	0.808642	1109	1
GO:0008283	cell proliferation	0	352	284	0.806818	468	45
GO:0008284	positive regulation of cell proliferation	0.893067	445	316	0.710112	491	6
GO:0008286	insulin receptor signaling pathway	1	301	252	0.837209	1225	3
GO:0008380	RNA splicing	1	238	216	0.907563	1961	2
GO:0008543	fibroblast growth factor receptor signaling pathway	1	288	237	0.822917	1217	2
GO:0008584	male gonad development	0.349822	82	54	0.658537	23	1
GO:0009411	response to UV	0.429674	43	41	0.953488	30	1
GO:0009653	anatomical structure morphogenesis	0.0477071	123	71	0.577236	19	2
GO:0010032	meiotic chromosome condensation	0.00331152	5	4	0.8	5	2
GO:0010165	response to X-ray	0.0388737	22	22	1	17	2
GO:0010467	gene expression	1	854	781	0.91452	9931	22
GO:0010628	positive regulation of gene expression	0.881898	216	172	0.796296	197	2
GO:0012501	programmed cell death	1	158	154	0.974684	1099	3
GO:0015031	protein transport	0.984544	343	288	0.83965	328	2
GO:0016032	viral process	1	559	530	0.948122	5912	49
GO:0016446	somatic hypermutation of immunoglobulin genes	0.139064	12	10	0.833333	8	1
GO:0016567	protein ubiquitination	0.542385	353	285	0.807365	484	9
GO:0019221	cytokine-mediated signaling pathway	0.842635	260	200	0.769231	451	6
GO:0019985	translesion synthesis	0.0230746	47	45	0.957447	118	6
GO:0021766	hippocampus development	0.170698	52	38	0.730769	10	1
GO:0030154	cell differentiation	0.872897	445	249	0.559551	192	2
GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	0.0225816	81	79	0.975309	956	27
GO:0031572	G2 DNA damage checkpoint	0.258795	20	19	0.95	16	1
GO:0032092	positive regulation of protein binding	0.286031	54	48	0.888889	18	1
GO:0032147	activation of protein kinase activity	0.0269786	62	55	0.887097	14	2
GO:0032201	telomere maintenance via semi-conservative replication	2.23662e-06	23	23	1	98	11
GO:0032355	response to estradiol	0.0664132	100	81	0.81	82	4
GO:0032467	positive regulation of cytokinesis	7.37821e-05	37	25	0.675676	13	4
GO:0032508	DNA duplex unwinding	0.00142222	46	44	0.956522	66	6
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.999993	116	98	0.844828	781	2
GO:0034605	cellular response to heat	0.972518	102	88	0.862745	292	2
GO:0034641	cellular nitrogen compound metabolic process	0.999821	187	157	0.839572	708	3
GO:0038061	NIK/NF-kappaB signaling	0.99999	67	65	0.970149	759	2
GO:0038095	Fc-epsilon receptor signaling pathway	1	314	258	0.821656	1506	2
GO:0040029	regulation of gene expression, epigenetic	0.909642	106	82	0.773585	293	3
GO:0042127	regulation of cell proliferation	0.463011	147	122	0.829932	84	2
GO:0042276	error-prone translesion synthesis	0.0508158	20	19	0.95	45	3
GO:0042493	response to drug	0.374744	308	239	0.775974	368	8
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	0.999987	79	74	0.936709	743	2
GO:0042752	regulation of circadian rhythm	0.508999	49	42	0.857143	38	1
GO:0042769	DNA damage response, detection of DNA damage	0.0478805	35	35	1	106	5
GO:0042981	regulation of apoptotic process	1	216	176	0.814815	952	2
GO:0043065	positive regulation of apoptotic process	0.98986	280	249	0.889286	354	2
GO:0043066	negative regulation of apoptotic process	1	477	373	0.781971	2015	7
GO:0043524	negative regulation of neuron apoptotic process	0.69823	126	98	0.777778	64	1
GO:0043547	positive regulation of GTPase activity	0.160642	472	360	0.762712	240	7
GO:0044267	cellular protein metabolic process	1	637	538	0.844584	3246	2
GO:0044281	small molecule metabolic process	1	1450	1164	0.802759	2793	5
GO:0045087	innate immune response	1	849	641	0.755006	3965	7
GO:0045190	isotype switching	0.155029	15	14	0.933333	9	1
GO:0045814	negative regulation of gene expression, epigenetic	0.959274	94	73	0.776596	267	2
GO:0045892	negative regulation of transcription, DNA-templated	0.999962	478	362	0.757322	1476	10
GO:0045893	positive regulation of transcription, DNA-templated	0.999642	497	400	0.804829	1921	18
GO:0045931	positive regulation of mitotic cell cycle	0.272541	27	26	0.962963	17	1
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	1	951	702	0.73817	4509	15
GO:0048010	vascular endothelial growth factor receptor signaling pathway	1	280	241	0.860714	1330	2
GO:0048011	neurotrophin TRK receptor signaling pathway	1	394	333	0.845178	1734	2
GO:0048146	positive regulation of fibroblast proliferation	0.223478	54	43	0.796296	48	2
GO:0048511	rhythmic process	0.490267	48	38	0.791667	36	1
GO:0048565	digestive tract development	0.106225	38	25	0.657895	6	1
GO:0051056	regulation of small GTPase mediated signal transduction	0.834256	134	114	0.850746	96	1
GO:0051301	cell division	0	320	292	0.9125	1163	235
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	0.993829	66	66	1	821	7
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	0.867629	71	69	0.971831	854	12
GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	0.544564	75	73	0.973333	923	17
GO:0051488	activation of anaphase-promoting complex activity	6.36923e-06	6	5	0.833333	3	3
GO:0051726	regulation of cell cycle	0.000649827	114	103	0.903509	102	8
GO:0051988	regulation of attachment of spindle microtubules to kinetochore	6.19356e-05	7	7	1	5	3
GO:0055085	transmembrane transport	0.985489	634	356	0.561514	226	1
GO:0055086	nucleobase-containing small molecule metabolic process	0.418897	78	67	0.858974	29	1
GO:0060334	regulation of interferon-gamma-mediated signaling pathway	0.32502	16	15	0.9375	21	1
GO:0070301	cellular response to hydrogen peroxide	0.535815	46	39	0.847826	41	1
GO:0070534	protein K63-linked ubiquitination	0.440251	35	30	0.857143	31	1
GO:0070987	error-free translesion synthesis	0.0536373	19	19	1	46	3
GO:0071353	cellular response to interleukin-4	0.122798	22	18	0.818182	7	1
