Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.0216857	709	562	0.792666	2731	7
GO:0000209	protein polyubiquitination	0.223761	137	125	0.912409	881	2
GO:0000718	nucleotide-excision repair, DNA damage removal	0.0673832	22	22	1	69	1
GO:0001701	in utero embryonic development	0.169804	210	172	0.819048	184	1
GO:0001764	neuron migration	0.0210048	105	72	0.685714	21	1
GO:0001822	kidney development	6.65206e-05	89	67	0.752809	12	2
GO:0006281	DNA repair	0.784189	290	268	0.924138	1510	1
GO:0006289	nucleotide-excision repair	0.242092	69	63	0.913043	274	1
GO:0006338	chromatin remodeling	0.000186711	91	81	0.89011	274	4
GO:0006351	transcription, DNA-templated	1.48387e-05	1806	1279	0.708195	5544	18
GO:0006355	regulation of transcription, DNA-templated	0.00217539	1289	873	0.677269	1753	7
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.485948	386	276	0.715026	657	1
GO:0006366	transcription from RNA polymerase II promoter	0.00947558	543	395	0.72744	1765	6
GO:0006367	transcription initiation from RNA polymerase II promoter	9.87853e-07	250	227	0.908	1296	10
GO:0006915	apoptotic process	0.631748	600	504	0.84	2115	2
GO:0006952	defense response	0.00302788	58	35	0.603448	3	1
GO:0006959	humoral immune response	0.00504141	57	30	0.526316	5	1
GO:0006974	cellular response to DNA damage stimulus	0.288936	191	172	0.900524	337	1
GO:0006996	organelle organization	0.690757	293	271	0.924915	1157	1
GO:0007165	signal transduction	2.57572e-14	982	687	0.699593	1495	18
GO:0007204	positive regulation of cytosolic calcium ion concentration	0.00905634	118	68	0.576271	9	1
GO:0007264	small GTPase mediated signal transduction	0.90699	639	520	0.813772	2333	1
GO:0007411	axon guidance	0.489883	533	407	0.763602	1626	2
GO:0007507	heart development	0.0022122	156	120	0.769231	68	2
GO:0007596	blood coagulation	0.308613	486	393	0.808642	1109	2
GO:0008150	biological_process	0.0869807	650	377	0.58	90	1
GO:0008284	positive regulation of cell proliferation	0.00164122	445	316	0.710112	491	4
GO:0008285	negative regulation of cell proliferation	0.00461528	385	313	0.812987	656	4
GO:0008286	insulin receptor signaling pathway	0.711443	301	252	0.837209	1225	1
GO:0008584	male gonad development	8.7659e-09	82	54	0.658537	23	4
GO:0009411	response to UV	0.029872	43	41	0.953488	30	1
GO:0009615	response to virus	0.043507	108	85	0.787037	44	1
GO:0009653	anatomical structure morphogenesis	0.0190233	123	71	0.577236	19	1
GO:0009791	post-embryonic development	0.00905634	79	59	0.746835	9	1
GO:0009887	organ morphogenesis	0.0279084	92	66	0.717391	28	1
GO:0009967	positive regulation of signal transduction	0.0100576	56	44	0.785714	10	1
GO:0010332	response to gamma radiation	0.0337873	33	29	0.878788	34	1
GO:0010467	gene expression	0.550312	854	781	0.91452	9931	10
GO:0010595	positive regulation of endothelial cell migration	6.65206e-05	42	37	0.880952	12	2
GO:0010629	negative regulation of gene expression	1.32178e-07	115	94	0.817391	44	4
GO:0010863	positive regulation of phospholipase C activity	0.00302788	8	8	1	3	1
GO:0010975	regulation of neuron projection development	0.00403515	14	7	0.5	4	1
GO:0012501	programmed cell death	0.671953	158	154	0.974684	1099	1
GO:0014065	phosphatidylinositol 3-kinase signaling	0.0279084	30	22	0.733333	28	1
GO:0016032	viral process	0.997724	559	530	0.948122	5912	1
GO:0016049	cell growth	0.0190233	59	46	0.779661	19	1
GO:0019221	cytokine-mediated signaling pathway	0.0767705	260	200	0.769231	451	2
GO:0030218	erythrocyte differentiation	0.00805412	42	38	0.904762	8	1
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0483304	15	14	0.933333	49	1
GO:0030520	intracellular estrogen receptor signaling pathway	0.0110578	19	14	0.736842	11	1
GO:0031929	TOR signaling	0.0150486	14	13	0.928571	15	1
GO:0032355	response to estradiol	8.45808e-05	100	81	0.81	82	3
GO:0032689	negative regulation of interferon-gamma production	0.00504141	28	20	0.714286	5	1
GO:0035162	embryonic hemopoiesis	0.00504141	20	17	0.85	5	1
GO:0035457	cellular response to interferon-alpha	0.00403515	9	9	1	4	1
GO:0042472	inner ear morphogenesis	0.00604665	56	35	0.625	6	1
GO:0042493	response to drug	0.0538917	308	239	0.775974	368	2
GO:0042981	regulation of apoptotic process	0.619047	216	176	0.814815	952	1
GO:0043066	negative regulation of apoptotic process	0.605417	477	373	0.781971	2015	2
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	0.0160438	36	30	0.833333	16	1
GO:0043401	steroid hormone mediated signaling pathway	2.4758e-14	56	43	0.767857	42	7
GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity	0.0531296	67	53	0.791045	54	1
GO:0043627	response to estrogen	3.62355e-12	64	53	0.828125	40	6
GO:0045087	innate immune response	0.570159	849	641	0.755006	3965	4
GO:0045165	cell fate commitment	0.00403515	55	28	0.509091	4	1
GO:0045429	positive regulation of nitric oxide biosynthetic process	0.0259409	37	32	0.864865	26	1
GO:0045471	response to ethanol	0.000350258	97	73	0.752577	27	2
GO:0045599	negative regulation of fat cell differentiation	0.00604665	37	32	0.864865	6	1
GO:0045786	negative regulation of cell cycle	0.0210048	43	39	0.906977	21	1
GO:0045892	negative regulation of transcription, DNA-templated	0.188311	478	362	0.757322	1476	3
