Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.318572	709	562	0.792666	2731	3
GO:0001701	in utero embryonic development	0.125148	210	172	0.819048	184	1
GO:0001764	neuron migration	0.0151361	105	72	0.685714	21	1
GO:0001822	kidney development	0.00867723	89	67	0.752809	12	1
GO:0006338	chromatin remodeling	6.12197e-08	91	81	0.89011	274	6
GO:0006351	transcription, DNA-templated	2.13398e-08	1806	1279	0.708195	5544	19
GO:0006355	regulation of transcription, DNA-templated	6.06341e-06	1289	873	0.677269	1753	9
GO:0006366	transcription from RNA polymerase II promoter	0.000326426	543	395	0.72744	1765	7
GO:0006367	transcription initiation from RNA polymerase II promoter	4.51939e-08	250	227	0.908	1296	10
GO:0006457	protein folding	0.169172	165	141	0.854545	255	1
GO:0006952	defense response	0.00217634	58	35	0.603448	3	1
GO:0006959	humoral immune response	0.00362463	57	30	0.526316	5	1
GO:0007165	signal transduction	0	982	687	0.699593	1495	19
GO:0007204	positive regulation of cytosolic calcium ion concentration	0.00651495	118	68	0.576271	9	1
GO:0007411	axon guidance	0.694774	533	407	0.763602	1626	1
GO:0007507	heart development	0.0481939	156	120	0.769231	68	1
GO:0007596	blood coagulation	0.554299	486	393	0.808642	1109	1
GO:0008285	negative regulation of cell proliferation	0.379579	385	313	0.812987	656	1
GO:0008584	male gonad development	2.31376e-09	82	54	0.658537	23	4
GO:0009615	response to virus	0.0314532	108	85	0.787037	44	1
GO:0009653	anatomical structure morphogenesis	0.0137044	123	71	0.577236	19	1
GO:0009791	post-embryonic development	0.00651495	79	59	0.746835	9	1
GO:0009887	organ morphogenesis	0.0201308	92	66	0.717391	28	1
GO:0009967	positive regulation of signal transduction	0.00723623	56	44	0.785714	10	1
GO:0010332	response to gamma radiation	0.024392	33	29	0.878788	34	1
GO:0010467	gene expression	0.000303602	854	781	0.91452	9931	18
GO:0010595	positive regulation of endothelial cell migration	0.00867723	42	37	0.880952	12	1
GO:0010629	negative regulation of gene expression	1.9678e-10	115	94	0.817391	44	5
GO:0010863	positive regulation of phospholipase C activity	0.00217634	8	8	1	3	1
GO:0010975	regulation of neuron projection development	0.00290075	14	7	0.5	4	1
GO:0014065	phosphatidylinositol 3-kinase signaling	0.0201308	30	22	0.733333	28	1
GO:0016925	protein sumoylation	0.193585	92	83	0.902174	296	1
GO:0030218	erythrocyte differentiation	0.00579315	42	38	0.904762	8	1
GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0349647	15	14	0.933333	49	1
GO:0030520	intracellular estrogen receptor signaling pathway	0.00795699	19	14	0.736842	11	1
GO:0031929	TOR signaling	0.0108348	14	13	0.928571	15	1
GO:0032355	response to estradiol	4.83629e-09	100	81	0.81	82	5
GO:0032689	negative regulation of interferon-gamma production	0.00362463	28	20	0.714286	5	1
GO:0034605	cellular response to heat	0.191235	102	88	0.862745	292	1
GO:0035162	embryonic hemopoiesis	0.00362463	20	17	0.85	5	1
GO:0035457	cellular response to interferon-alpha	0.00290075	9	9	1	4	1
GO:0042472	inner ear morphogenesis	0.00434799	56	35	0.625	6	1
GO:0042493	response to drug	0.234749	308	239	0.775974	368	1
GO:0042981	regulation of apoptotic process	0.00530001	216	176	0.814815	952	4
GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	0.011553	36	30	0.833333	16	1
GO:0043401	steroid hormone mediated signaling pathway	0	56	43	0.767857	42	8
GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity	0.000729643	67	53	0.791045	54	2
GO:0043627	response to estrogen	1.19505e-10	64	53	0.828125	40	5
GO:0045087	innate immune response	0.945775	849	641	0.755006	3965	1
GO:0045165	cell fate commitment	0.00290075	55	28	0.509091	4	1
GO:0045429	positive regulation of nitric oxide biosynthetic process	0.0187063	37	32	0.864865	26	1
GO:0045471	response to ethanol	0.0194188	97	73	0.752577	27	1
GO:0045599	negative regulation of fat cell differentiation	0.00434799	37	32	0.864865	6	1
GO:0045786	negative regulation of cell cycle	0.0151361	43	39	0.906977	21	1
GO:0045892	negative regulation of transcription, DNA-templated	0.0230367	478	362	0.757322	1476	4
GO:0045893	positive regulation of transcription, DNA-templated	3.33067e-16	497	400	0.804829	1921	19
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	7.7162e-10	951	702	0.73817	4509	19
GO:0048146	positive regulation of fibroblast proliferation	0.000576789	54	43	0.796296	48	2
GO:0048469	cell maturation	0.00507083	42	29	0.690476	7	1
GO:0048538	thymus development	0.0101162	44	29	0.659091	14	1
GO:0048565	digestive tract development	0.00434799	38	25	0.657895	6	1
GO:0048589	developmental growth	0.00362463	23	18	0.782609	5	1
GO:0050728	negative regulation of inflammatory response	0.0165657	72	54	0.75	23	1
GO:0050852	T cell receptor signaling pathway	0.112335	97	73	0.752577	164	1
