Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
A1BG_prot	A1BG	prot	died	died	died
A1CF_mrna	A1CF	mrna	died	died	died
A2M_mrna	A2M	mrna	died	mrna	died
A2M_prot	A2M	prot	died	died	died
AAAS_mrna	AAAS	mrna	died	died	died
AAAS_prot	AAAS	prot	died	died	died
AACS_mrna	AACS	mrna	died	died	died
AAMDC_mrna	AAMDC	mrna	died	died	died
AAMP_mrna	AAMP	mrna	died	died	died
AARS2_prot	AARS2	prot	died	prot	died
AARSD1_mrna	AARSD1	mrna	died	died	died
AARS_prot	AARS	prot	died	died	died
AASDHPPT_mrna	AASDHPPT	mrna	died	died	died
AASS_mrna	AASS	mrna	died	died	died
ABAT_prot	ABAT	prot	prot	died	died
ABCA1_mrna	ABCA1	mrna	died	died	died
ABCA2_mrna	ABCA2	mrna	died	died	died
ABCA3_mrna	ABCA3	mrna	died	died	died
ABCA4_mrna	ABCA4	mrna	died	died	died
ABCA8_mrna	ABCA8	mrna	died	died	died
ABCB10_mrna	ABCB10	mrna	died	died	died
ABCB10_prot	ABCB10	prot	died	died	died
ABCB1_mrna	ABCB1	mrna	died	died	died
ABCB1_prot	ABCB1	prot	died	died	died
ABCB6_mrna	ABCB6	mrna	died	died	died
ABCB7_prot	ABCB7	prot	died	died	died
ABCC8_mrna	ABCC8	mrna	died	died	died
ABCD1_mrna	ABCD1	mrna	died	died	died
ABCD3_mrna	ABCD3	mrna	died	died	died
ABCD3_prot	ABCD3	prot	died	died	died
ABCE1_mrna	ABCE1	mrna	died	died	died
ABCE1_prot	ABCE1	prot	died	died	died
ABCF1_prot	ABCF1	prot	died	died	prot
ABCF2_mrna	ABCF2	mrna	died	died	died
ABCF2_prot	ABCF2	prot	died	died	died
ABCF3_prot	ABCF3	prot	died	died	died
ABCG1_mrna	ABCG1	mrna	died	died	died
ABCG2_mrna	ABCG2	mrna	died	died	died
ABCG5_mrna	ABCG5	mrna	died	died	died
ABCG8_mrna	ABCG8	mrna	died	died	died
ABHD10_prot	ABHD10	prot	died	died	died
ABHD11_prot	ABHD11	prot	died	died	died
ABHD12_prot	ABHD12	prot	died	died	died
ABHD14A-ACY1_mrna	ABHD14A-ACY1	mrna	died	died	died
ABHD14A_mrna	ABHD14A	mrna	died	died	died
ABHD14B_mrna	ABHD14B	mrna	died	died	died
ABHD16A_prot	ABHD16A	prot	died	died	died
ABHD2_mrna	ABHD2	mrna	died	died	died
ABHD6_prot	ABHD6	prot	died	died	died
ABI1_prot	ABI1	prot	died	prot	died
ABL1_mrna	ABL1	mrna	died	died	died
ABL2_mrna	ABL2	mrna	died	died	died
ABLIM1_prot	ABLIM1	prot	died	died	died
ABR_prot	ABR	prot	died	died	died
ABT1_mrna	ABT1	mrna	died	died	died
ABTB2_mrna	ABTB2	mrna	died	died	died
ACAA1_prot	ACAA1	prot	died	prot	died
ACAA2_prot	ACAA2	prot	died	died	died
ACACA_prot	ACACA	prot	prot	prot	prot
ACACB_mrna	ACACB	mrna	mrna	died	died
ACAD8_prot	ACAD8	prot	died	died	died
ACAD9_prot	ACAD9	prot	prot	died	died
ACADM_mrna	ACADM	mrna	died	died	died
ACADM_prot	ACADM	prot	died	died	died
ACADSB_prot	ACADSB	prot	died	died	died
ACADS_prot	ACADS	prot	died	died	died
ACADVL_mrna	ACADVL	mrna	mrna	died	died
ACADVL_prot	ACADVL	prot	died	died	died
ACAT1_mrna	ACAT1	mrna	died	died	died
ACAT1_prot	ACAT1	prot	prot	died	died
ACAT2_mrna	ACAT2	mrna	died	died	died
ACAT2_prot	ACAT2	prot	died	died	died
ACBD3_prot	ACBD3	prot	died	prot	died
ACBD4_mrna	ACBD4	mrna	died	died	died
ACBD5_prot	ACBD5	prot	died	died	died
ACBD6_mrna	ACBD6	mrna	died	died	died
ACD_mrna	ACD	mrna	died	mrna	died
ACER2_mrna	ACER2	mrna	died	died	died
ACE_prot	ACE	prot	died	died	died
ACIN1_mrna	ACIN1	mrna	died	died	died
ACIN1_prot	ACIN1	prot	died	died	died
ACKR2_mrna	ACKR2	mrna	died	died	died
ACLY_mrna	ACLY	mrna	died	mrna	died
ACLY_prot	ACLY	prot	died	died	died
ACO1_prot	ACO1	prot	died	died	died
ACO2_mrna	ACO2	mrna	died	died	died
ACO2_prot	ACO2	prot	died	died	died
ACOT13_prot	ACOT13	prot	prot	died	died
ACOT1_prot	ACOT1	prot	died	died	died
ACOT7_mrna	ACOT7	mrna	died	died	died
ACOT7_prot	ACOT7	prot	died	died	died
ACOT8_prot	ACOT8	prot	prot	died	prot
ACOT9_prot	ACOT9	prot	prot	died	died
ACOX1_prot	ACOX1	prot	prot	died	died
ACOX2_prot	ACOX2	prot	died	died	died
ACOX3_mrna	ACOX3	mrna	died	died	died
ACOXL_mrna	ACOXL	mrna	mrna	died	died
ACP1_prot	ACP1	prot	died	died	died
ACP2_prot	ACP2	prot	died	died	died
ACP5_mrna	ACP5	mrna	died	mrna	died
ACRV1_mrna	ACRV1	mrna	died	died	died
ACSBG2_mrna	ACSBG2	mrna	died	died	died
ACSF2_prot	ACSF2	prot	prot	died	died
