Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000082	G1/S transition of mitotic cell cycle	0.748343	153	123	0.803922	889	3
GO:0000165	MAPK cascade	0.813209	250	142	0.568	701	2
GO:0000186	activation of MAPKK activity	0.822975	229	137	0.598253	717	2
GO:0000209	protein polyubiquitination	0.792917	137	94	0.686131	670	2
GO:0000278	mitotic cell cycle	0.959896	422	317	0.751185	2146	5
GO:0000398	mRNA splicing, via spliceosome	0.997939	196	162	0.826531	1393	1
GO:0000724	double-strand break repair via homologous recombination	0.127165	70	38	0.542857	31	1
GO:0000730	DNA recombinase assembly	0.0173924	7	6	0.857143	4	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	0.355271	121	87	0.719008	688	4
GO:0002224	toll-like receptor signaling pathway	0.186358	109	69	0.633028	47	1
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	0.816312	97	86	0.886598	706	2
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	0.79699	75	66	0.88	676	2
GO:0002756	MyD88-independent toll-like receptor signaling pathway	0.153572	78	50	0.641026	38	1
GO:0005975	carbohydrate metabolic process	0.461628	337	184	0.545994	141	1
GO:0006260	DNA replication	0.800197	130	87	0.669231	366	1
GO:0006271	DNA strand elongation involved in DNA replication	0.629615	33	32	0.969697	226	1
GO:0006281	DNA repair	0.933882	290	197	0.67931	616	1
GO:0006367	transcription initiation from RNA polymerase II promoter	0.100193	250	157	0.628	122	2
GO:0006418	tRNA aminoacylation for protein translation	0.349628	42	39	0.928571	98	1
GO:0006457	protein folding	0.573586	165	113	0.684848	194	1
GO:0006461	protein complex assembly	0.0636833	111	77	0.693694	15	1
GO:0006511	ubiquitin-dependent protein catabolic process	0.189922	88	57	0.647727	48	1
GO:0006521	regulation of cellular amino acid metabolic process	0.760022	51	45	0.882353	625	2
GO:0006915	apoptotic process	0.123006	600	348	0.58	1125	8
GO:0006953	acute-phase response	4.44817e-05	38	28	0.736842	16	3
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.763888	66	57	0.863636	630	2
GO:0007173	epidermal growth factor receptor signaling pathway	0.876871	321	199	0.619938	823	2
GO:0007179	transforming growth factor beta receptor signaling pathway	0.0103224	132	88	0.666667	35	2
GO:0007229	integrin-mediated signaling pathway	0.221305	79	54	0.683544	57	1
GO:0007259	JAK-STAT cascade	3.40276e-10	31	17	0.548387	21	6
GO:0007264	small GTPase mediated signal transduction	0.927686	639	380	0.594679	1310	3
GO:0007265	Ras protein signal transduction	0.836768	241	148	0.614108	741	2
GO:0007411	axon guidance	0.959491	533	286	0.536585	1131	2
GO:0007568	aging	0.210981	145	88	0.606897	54	1
GO:0007596	blood coagulation	0.163751	486	273	0.561728	484	4
GO:0008283	cell proliferation	0.183396	352	189	0.536932	178	2
GO:0008285	negative regulation of cell proliferation	0.36376	385	198	0.514286	103	1
GO:0008286	insulin receptor signaling pathway	0.835098	301	176	0.584718	738	2
GO:0008543	fibroblast growth factor receptor signaling pathway	0.838422	288	174	0.604167	744	2
GO:0010467	gene expression	1	854	643	0.752927	5891	6
GO:0012501	programmed cell death	0.868476	158	129	0.816456	804	2
GO:0016032	viral process	0.997342	559	442	0.790698	4048	8
GO:0019221	cytokine-mediated signaling pathway	3.89315e-09	260	156	0.6	273	12
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	0.0369436	93	62	0.666667	69	2
GO:0030168	platelet activation	0.244062	213	126	0.591549	216	2
GO:0030449	regulation of complement activation	0.0554314	25	19	0.76	13	1
GO:0031145	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	0.794963	81	71	0.876543	673	2
GO:0031589	cell-substrate adhesion	0.0302386	17	13	0.764706	7	1
GO:0031663	lipopolysaccharide-mediated signaling pathway	6.82547e-06	30	25	0.833333	9	3
GO:0032496	response to lipopolysaccharide	0.0344834	153	93	0.607843	8	1
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.327616	116	81	0.698276	660	4
GO:0034138	toll-like receptor 3 signaling pathway	0.146109	81	50	0.617284	36	1
GO:0034142	toll-like receptor 4 signaling pathway	0.168303	96	63	0.65625	42	1
GO:0034605	cellular response to heat	0.5026	102	78	0.764706	159	1
GO:0034641	cellular nitrogen compound metabolic process	0.780985	187	116	0.620321	653	2
GO:0034975	protein folding in endoplasmic reticulum	0.0387097	10	7	0.7	9	1
GO:0035666	TRIF-dependent toll-like receptor signaling pathway	0.146109	76	49	0.644737	36	1
GO:0038061	NIK/NF-kappaB signaling	0.560147	67	60	0.895522	667	3
GO:0038095	Fc-epsilon receptor signaling pathway	0.494805	314	181	0.576433	832	4
GO:0040029	regulation of gene expression, epigenetic	0.186358	106	58	0.54717	47	1
GO:0042493	response to drug	0.121322	308	188	0.61039	137	2
GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	0.797662	79	69	0.873418	677	2
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	0.0302386	30	19	0.633333	7	1
GO:0042981	regulation of apoptotic process	0.591867	216	121	0.560185	699	3
GO:0043066	negative regulation of apoptotic process	0.00578069	477	293	0.614256	1168	12
GO:0043434	response to peptide hormone	0.0216932	43	28	0.651163	5	1
GO:0044267	cellular protein metabolic process	0.999994	637	430	0.675039	2663	1
GO:0044281	small molecule metabolic process	0.984794	1450	832	0.573793	1775	3
GO:0045087	innate immune response	0.00818887	849	454	0.534747	1534	14
GO:0045893	positive regulation of transcription, DNA-templated	7.68921e-07	497	271	0.545272	365	11
GO:0048010	vascular endothelial growth factor receptor signaling pathway	0.893331	280	179	0.639286	864	2
GO:0048011	neurotrophin TRK receptor signaling pathway	0.608853	394	241	0.611675	962	4
GO:0048661	positive regulation of smooth muscle cell proliferation	0.0259752	51	32	0.627451	6	1
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.0277189	127	70	0.551181	59	2
GO:0051436	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	0.773689	66	57	0.863636	643	2
GO:0051437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	0.782419	71	61	0.859155	655	2
GO:0051439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	0.792232	75	65	0.866667	669	2
