Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000077	DNA damage checkpoint	0.03732	28	18	0.642857	3	1
GO:0000165	MAPK cascade	0.998684	250	142	0.568	701	2
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1	118	100	0.847458	1827	1
GO:0000186	activation of MAPKK activity	0.998906	229	137	0.598253	717	2
GO:0000278	mitotic cell cycle	1	422	317	0.751185	2146	3
GO:0000302	response to reactive oxygen species	0.173199	34	23	0.676471	15	1
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	0.00962043	30	18	0.6	12	2
GO:0000398	mRNA splicing, via spliceosome	0.996597	196	162	0.826531	1393	8
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.000935096	8	8	1	4	2
GO:0000723	telomere maintenance	0.171184	66	45	0.681818	113	3
GO:0000724	double-strand break repair via homologous recombination	3.31069e-12	70	38	0.542857	31	10
GO:0001525	angiogenesis	0.0579564	219	124	0.56621	31	2
GO:0001934	positive regulation of protein phosphorylation	0.0259178	123	64	0.520325	20	2
GO:0005975	carbohydrate metabolic process	0.832997	337	184	0.545994	141	1
GO:0006006	glucose metabolic process	0.122557	126	86	0.68254	48	2
GO:0006090	pyruvate metabolic process	0.233776	24	14	0.583333	21	1
GO:0006094	gluconeogenesis	0.214093	47	32	0.680851	19	1
GO:0006281	DNA repair	5.03403e-06	290	197	0.67931	616	23
GO:0006284	base-excision repair	0.267132	48	37	0.770833	80	2
GO:0006302	double-strand break repair	2.0306e-13	64	53	0.828125	101	16
GO:0006303	double-strand break repair via nonhomologous end joining	1.63179e-05	21	15	0.714286	13	4
GO:0006310	DNA recombination	0.0148833	71	43	0.605634	41	3
GO:0006364	rRNA processing	0.887389	90	65	0.722222	172	1
GO:0006367	transcription initiation from RNA polymerase II promoter	0.455767	250	157	0.628	122	2
GO:0006369	termination of RNA polymerase II transcription	0.48943	46	41	0.891304	53	1
GO:0006397	mRNA processing	0.274137	168	105	0.625	278	5
GO:0006401	RNA catabolic process	0.03732	20	17	0.85	3	1
GO:0006412	translation	1	231	196	0.848485	2321	3
GO:0006413	translational initiation	1	137	123	0.89781	2113	2
GO:0006414	translational elongation	1	95	85	0.894737	1833	1
GO:0006415	translational termination	1	84	77	0.916667	1707	1
GO:0006605	protein targeting	0.233776	38	27	0.710526	21	1
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	1	107	98	0.915888	1738	1
GO:0006626	protein targeting to mitochondrion	0.262382	48	36	0.75	24	1
GO:0006886	intracellular protein transport	0.891604	231	133	0.575758	175	1
GO:0006915	apoptotic process	0.99555	600	348	0.58	1125	6
GO:0006974	cellular response to DNA damage stimulus	0.00363596	191	127	0.664921	50	4
GO:0006979	response to oxidative stress	0.223997	98	62	0.632653	20	1
GO:0006996	organelle organization	0.341945	293	182	0.62116	378	6
GO:0006998	nuclear envelope organization	0.03732	14	10	0.714286	3	1
GO:0007004	telomere maintenance via telomerase	0.00319154	14	10	0.714286	7	2
GO:0007049	cell cycle	0.0865495	187	110	0.588235	39	2
GO:0007062	sister chromatid cohesion	0.061424	15	12	0.8	5	1
GO:0007172	signal complex assembly	0.03732	8	5	0.625	3	1
GO:0007173	epidermal growth factor receptor signaling pathway	0.97826	321	199	0.619938	823	5
GO:0007179	transforming growth factor beta receptor signaling pathway	0.00965919	132	88	0.666667	35	3
GO:0007229	integrin-mediated signaling pathway	0.161427	79	54	0.683544	57	2
GO:0007264	small GTPase mediated signal transduction	0.999167	639	380	0.594679	1310	6
GO:0007265	Ras protein signal transduction	0.99559	241	148	0.614108	741	3
GO:0007411	axon guidance	0.998673	533	286	0.536585	1131	5
GO:0007568	aging	0.000594546	145	88	0.606897	54	5
GO:0007596	blood coagulation	0.944019	486	273	0.561728	484	3
GO:0008033	tRNA processing	0.0494483	41	25	0.609756	4	1
GO:0008283	cell proliferation	0.0259023	352	189	0.536932	178	6
GO:0008285	negative regulation of cell proliferation	0.141153	385	198	0.514286	103	3
GO:0008286	insulin receptor signaling pathway	0.999142	301	176	0.584718	738	2
GO:0008380	RNA splicing	0.997282	238	179	0.752101	1302	7
GO:0008543	fibroblast growth factor receptor signaling pathway	0.995725	288	174	0.604167	744	3
GO:0010467	gene expression	1	854	643	0.752927	5891	21
GO:0010510	regulation of acetyl-CoA biosynthetic process from pyruvate	0.214093	12	10	0.833333	19	1
GO:0012501	programmed cell death	0.991233	158	129	0.816456	804	4
GO:0016032	viral process	1	559	442	0.790698	4048	10
GO:0016477	cell migration	0.374514	173	94	0.543353	37	1
GO:0016925	protein sumoylation	0.770555	92	68	0.73913	116	1
GO:0017148	negative regulation of translation	0.0753933	59	42	0.711864	36	2
GO:0018279	protein N-linked glycosylation via asparagine	0.405463	125	74	0.592	41	1
GO:0019058	viral life cycle	1	144	121	0.840278	1904	1
GO:0019083	viral transcription	1	109	100	0.917431	1780	1
GO:0019221	cytokine-mediated signaling pathway	0.968858	260	156	0.6	273	1
GO:0030168	platelet activation	0.757669	213	126	0.591549	216	2
GO:0030198	extracellular matrix organization	0.89298	308	191	0.62013	300	2
GO:0030308	negative regulation of cell growth	0.151961	121	69	0.570248	13	1
GO:0030335	positive regulation of cell migration	0.298871	148	88	0.594595	28	1
GO:0030522	intracellular receptor signaling pathway	0.0849253	38	21	0.552632	7	1
GO:0030866	cortical actin cytoskeleton organization	0.0494483	24	19	0.791667	4	1
GO:0031124	mRNA 3'-end processing	0.48943	43	38	0.883721	53	1
GO:0031954	positive regulation of protein autophosphorylation	1.99128e-06	17	11	0.647059	3	3
GO:0032481	positive regulation of type I interferon production	0.027889	66	48	0.727273	52	3
GO:0032508	DNA duplex unwinding	0.0020881	46	34	0.73913	43	4
GO:0032543	mitochondrial translation	0.298317	100	85	0.85	288	5
GO:0032876	negative regulation of DNA endoreduplication	0.0494483	5	5	1	4	1
GO:0033674	positive regulation of kinase activity	1.99128e-06	8	4	0.5	3	3
GO:0038083	peptidyl-tyrosine autophosphorylation	0.107839	40	22	0.55	9	1
GO:0038095	Fc-epsilon receptor signaling pathway	0.993283	314	181	0.576433	832	4
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	0.707933	94	56	0.595745	97	1
GO:0042026	protein refolding	0.173199	17	11	0.647059	15	1
GO:0042127	regulation of cell proliferation	0.00229884	147	82	0.557823	6	2
GO:0042273	ribosomal large subunit biogenesis	0.223997	17	13	0.764706	20	1
GO:0042493	response to drug	0.0301712	308	188	0.61039	137	5
GO:0042744	hydrogen peroxide catabolic process	0.0849253	20	14	0.7	7	1
GO:0043065	positive regulation of apoptotic process	0.476307	280	172	0.614286	51	1
GO:0043066	negative regulation of apoptotic process	0.871091	477	293	0.614256	1168	11
GO:0043085	positive regulation of catalytic activity	0.00154547	67	41	0.61194	5	2
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	0.307708	155	97	0.625806	29	1
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.956079	173	99	0.572254	246	1
GO:0043278	response to morphine	0.03732	23	14	0.608696	3	1
GO:0043401	steroid hormone mediated signaling pathway	0.0494483	56	28	0.5	4	1
GO:0043687	post-translational protein modification	0.422776	312	179	0.573718	188	3
GO:0044237	cellular metabolic process	0.98455	131	105	0.801527	328	1
GO:0044267	cellular protein metabolic process	1	637	430	0.675039	2663	7
GO:0044281	small molecule metabolic process	0.994519	1450	832	0.573793	1775	12
GO:0045087	innate immune response	0.972565	849	454	0.534747	1534	12
GO:0045893	positive regulation of transcription, DNA-templated	0.000850561	497	271	0.545272	365	13
GO:0046777	protein autophosphorylation	0.0364288	164	82	0.5	24	2
GO:0048010	vascular endothelial growth factor receptor signaling pathway	0.998797	280	179	0.639286	864	3
GO:0048011	neurotrophin TRK receptor signaling pathway	0.918661	394	241	0.611675	962	8
GO:0048013	ephrin receptor signaling pathway	0.676704	91	60	0.659341	89	1
GO:0048026	positive regulation of mRNA splicing, via spliceosome	0.00538046	16	11	0.6875	9	2
GO:0048048	embryonic eye morphogenesis	0.03732	10	6	0.6	3	1
GO:0048660	regulation of smooth muscle cell proliferation	0.0964547	8	7	0.875	8	1
GO:0050821	protein stabilization	0.252967	114	76	0.666667	23	1
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.526862	127	70	0.551181	59	1
GO:0051289	protein homotetramerization	0.0732491	58	45	0.775862	6	1
GO:0051301	cell division	0.384774	320	195	0.609375	323	5
GO:0051591	response to cAMP	0.151961	51	32	0.627451	13	1
GO:0051592	response to calcium ion	0.11908	55	39	0.709091	10	1
GO:0051897	positive regulation of protein kinase B signaling	0.141139	82	47	0.573171	12	1
GO:0055129	L-proline biosynthetic process	0.03732	5	5	1	3	1
GO:0061024	membrane organization	0.917012	159	105	0.660377	196	1
GO:0070124	mitochondrial translational initiation	0.245714	84	74	0.880952	266	5
GO:0070125	mitochondrial translational elongation	0.264582	84	75	0.892857	274	5
GO:0070126	mitochondrial translational termination	0.250399	86	74	0.860465	268	5
GO:0070934	CRD-mediated mRNA stabilization	0.13018	5	5	1	11	1
GO:0071260	cellular response to mechanical stimulus	0.243432	71	46	0.647887	22	1
GO:0090141	positive regulation of mitochondrial fission	0.03732	12	6	0.5	3	1
GO:0090263	positive regulation of canonical Wnt signaling pathway	0.999755	130	82	0.630769	652	1
GO:0090305	nucleic acid phosphodiester bond hydrolysis	0.0964547	80	40	0.5	8	1
GO:0097193	intrinsic apoptotic signaling pathway	0.48291	59	49	0.830508	52	1
GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	0.243432	26	21	0.807692	22	1
GO:2000811	negative regulation of anoikis	0.061424	16	13	0.8125	5	1
KEGG:00330	Arginine and proline metabolism	0.107839	61	42	0.688525	9	1
KEGG:01100	Metabolic pathways	0.949408	1130	630	0.557522	720	5
KEGG:03008	Ribosome biogenesis in eukaryotes	0.555953	91	55	0.604396	64	1
KEGG:03010	Ribosome	0.999995	138	114	0.826087	1820	6
KEGG:03013	RNA transport	0.992813	172	121	0.703488	388	1
KEGG:03015	mRNA surveillance pathway	0.725902	91	62	0.681319	102	1
KEGG:03040	Spliceosome	0.930991	133	107	0.804511	887	7
KEGG:03410	Base excision repair	0.162647	33	25	0.757576	14	1
KEGG:03440	Homologous recombination	0.00080917	29	22	0.758621	15	3
KEGG:03450	Non-homologous end-joining	0.000304677	13	7	0.538462	11	3
KEGG:04012	ErbB signaling pathway	0.0251915	87	52	0.597701	50	3
KEGG:04062	Chemokine signaling pathway	0.654954	191	97	0.507853	177	2
KEGG:04110	Cell cycle	0.220395	124	95	0.766129	255	5
KEGG:04114	Oocyte meiosis	0.603888	115	71	0.617391	73	1
KEGG:04120	Ubiquitin mediated proteolysis	0.608885	137	91	0.664234	74	1
KEGG:04142	Lysosome	0.390184	123	78	0.634146	39	1
KEGG:04144	Endocytosis	0.411931	261	156	0.597701	259	4
KEGG:04151	PI3K-Akt signaling pathway	0.0568625	347	190	0.54755	327	8
KEGG:04210	Apoptosis	0.555953	90	61	0.677778	64	1
KEGG:04310	Wnt signaling pathway	0.152598	154	77	0.5	55	2
KEGG:04390	Hippo signaling pathway	0.157001	154	79	0.512987	56	2
KEGG:04510	Focal adhesion	0.149402	207	140	0.676329	283	6
KEGG:04520	Adherens junction	0.628249	73	55	0.753425	78	1
KEGG:04530	Tight junction	0.6235	138	76	0.550725	77	1
KEGG:04660	T cell receptor signaling pathway	0.495868	109	60	0.550459	54	1
