Threshold	CVerror	CVerror_CIN	CVerror_Invasive	CVerror_MSIorCIMP	EdgesSelected
0	0.472421	0.416667	0.683333	0.35	58264
0.0879541	0.455754	0.416667	0.683333	0.3	57198
0.175908	0.426587	0.366667	0.683333	0.266667	54038
0.263862	0.414087	0.333333	0.683333	0.266667	49099
0.351816	0.428373	0.333333	0.733333	0.266667	42862
0.43977	0.415873	0.333333	0.683333	0.266667	35862
0.527724	0.399206	0.333333	0.683333	0.216667	28782
0.615679	0.38254	0.333333	0.683333	0.166667	22184
0.703633	0.38254	0.333333	0.683333	0.166667	16334
0.791587	0.38254	0.333333	0.683333	0.166667	11563
0.879541	0.403373	0.333333	0.783333	0.133333	7861
0.967495	0.355754	0.283333	0.683333	0.133333	5164
1.05545	0.347421	0.283333	0.683333	0.1	3303
1.1434	0.369246	0.3	0.716667	0.116667	2072
1.23136	0.383532	0.35	0.716667	0.116667	1267
1.31931	0.389087	0.366667	0.716667	0.116667	760
1.40727	0.40754	0.366667	0.716667	0.166667	448
1.49522	0.382143	0.333333	0.666667	0.166667	257
1.58317	0.39881	0.333333	0.716667	0.166667	153
1.67113	0.39881	0.333333	0.75	0.133333	91
1.75908	0.39881	0.333333	0.75	0.133333	56
1.84704	0.382143	0.283333	0.75	0.133333	32
1.93499	0.408929	0.283333	0.85	0.116667	19
2.02294	0.415873	0.316667	0.85	0.1	11
2.1109	0.440873	0.35	0.95	0.0666667	5
2.19885	0.453373	0.35	0.95	0.1	2
2.28681	0.519643	0.433333	0.916667	0.233333	1
2.37476	0.725595	0.65	0.95	0.566667	0
2.46271	0.873214	0.85	0.95	0.8	0
2.55067	1	1	1	1	0
