Edge	NodeA	NodeB	InteractionType	CIN_dikNew	CIN_sigEdge	CIN_dir	CIN_absdiknew	Invasive_dikNew	Invasive_sigEdge	Invasive_dir	Invasive_absdiknew	MSIorCIMP_dikNew	MSIorCIMP_sigEdge	MSIorCIMP_dir	MSIorCIMP_absdiknew
AARS2_prot_RBM3_prot	AARS2_prot	RBM3_prot	ppi	0	died	died	0	0.0752914	ppi	up	0.0752914	-0	died	died	0
ABAT_prot_BAG3_prot	ABAT_prot	BAG3_prot	ppi	0.0280092	ppi	up	0.0280092	-0	died	died	0	-0	died	died	0
ABCF1_prot_MRE11A_prot	ABCF1_prot	MRE11A_prot	ppi	0	died	died	0	0	died	died	0	-0.0410649	ppi	down	0.0410649
ABI1_prot_EPS8L2_prot	ABI1_prot	EPS8L2_prot	ppi	-0	died	died	0	0.0286446	ppi	up	0.0286446	-0	died	died	0
ABI1_prot_PRKAA1_prot	ABI1_prot	PRKAA1_prot	ppi	-0	died	died	0	0.12168	ppi	up	0.12168	-0	died	died	0
ACAA1_prot_HSD17B4_prot	ACAA1_prot	HSD17B4_prot	ppi	0	died	died	0	0.0889655	ppi	up	0.0889655	-0	died	died	0
ACACA_prot_CSNK1A1_prot	ACACA_prot	CSNK1A1_prot	ppi	-0	died	died	0	0.156383	ppi	up	0.156383	-0	died	died	0
ACACA_prot_EPB41L1_prot	ACACA_prot	EPB41L1_prot	ppi	0.116512	ppi	up	0.116512	0	died	died	0	-0.26768	ppi	down	0.26768
ACACA_prot_PRKAA1_prot	ACACA_prot	PRKAA1_prot	ppi	0	died	died	0	0.261723	ppi	up	0.261723	-0	died	died	0
ACACA_prot_PRKAG1_prot	ACACA_prot	PRKAG1_prot	ppi	0	died	died	0	0.0304061	ppi	up	0.0304061	-0	died	died	0
ACACA_prot_UBE2N_prot	ACACA_prot	UBE2N_prot	ppi	-0	died	died	0	0.0111247	ppi	up	0.0111247	-0	died	died	0
ACAD9_prot_HSPD1_prot	ACAD9_prot	HSPD1_prot	ppi	0.0195675	ppi	up	0.0195675	-0	died	died	0	-0	died	died	0
ACAD9_prot_NFS1_prot	ACAD9_prot	NFS1_prot	ppi	0.0339705	ppi	up	0.0339705	-0	died	died	0	-0	died	died	0
ACAD9_prot_PDK3_prot	ACAD9_prot	PDK3_prot	ppi	0.000344623	ppi	up	0.000344623	0	died	died	0	-0	died	died	0
ACAD9_prot_PPL_prot	ACAD9_prot	PPL_prot	ppi	0.273895	ppi	up	0.273895	-0	died	died	0	-0	died	died	0
ACAD9_prot_TIMM50_prot	ACAD9_prot	TIMM50_prot	ppi	0.0273559	ppi	up	0.0273559	-0	died	died	0	-0	died	died	0
ACAT1_prot_CSE1L_prot	ACAT1_prot	CSE1L_prot	ppi	0.217352	ppi	up	0.217352	-0	died	died	0	-0	died	died	0
ACAT1_prot_SSBP1_prot	ACAT1_prot	SSBP1_prot	ppi	0.202752	ppi	up	0.202752	-0	died	died	0	-0	died	died	0
ACAT1_prot_UBL4A_prot	ACAT1_prot	UBL4A_prot	ppi	0.0595804	ppi	up	0.0595804	-0	died	died	0	-0	died	died	0
ACBD3_prot_SARS_prot	ACBD3_prot	SARS_prot	ppi	-0	died	died	0	0.000531021	ppi	up	0.000531021	-0	died	died	0
ACOT13_prot_NDUFAF2_prot	ACOT13_prot	NDUFAF2_prot	ppi	0.0436111	ppi	up	0.0436111	0	died	died	0	-0	died	died	0
ACOT13_prot_SBDS_prot	ACOT13_prot	SBDS_prot	ppi	0.111466	ppi	up	0.111466	0	died	died	0	-0	died	died	0
ACOT8_prot_EXOC4_prot	ACOT8_prot	EXOC4_prot	ppi	0	died	died	0	0	died	died	0	-0.197651	ppi	down	0.197651
ACOT8_prot_NMT1_prot	ACOT8_prot	NMT1_prot	ppi	0.0601953	ppi	up	0.0601953	0	died	died	0	-0.154413	ppi	down	0.154413
ACOT9_prot_DAB2_prot	ACOT9_prot	DAB2_prot	ppi	0.0194976	ppi	up	0.0194976	-0	died	died	0	-0	died	died	0
ACOX1_prot_HRSP12_prot	ACOX1_prot	HRSP12_prot	ppi	0.266457	ppi	up	0.266457	0	died	died	0	-0	died	died	0
ACSF2_prot_HSPD1_prot	ACSF2_prot	HSPD1_prot	ppi	0.109415	ppi	up	0.109415	-0	died	died	0	-0	died	died	0
ACSF3_prot_TMEM70_prot	ACSF3_prot	TMEM70_prot	ppi	0.100317	ppi	up	0.100317	-0	died	died	0	-0	died	died	0
ACTA2_prot_CUL4B_prot	ACTA2_prot	CUL4B_prot	ppi	0.110574	ppi	up	0.110574	-0	died	died	0	-0	died	died	0
ACTA2_prot_UBL4A_prot	ACTA2_prot	UBL4A_prot	ppi	0.0578309	ppi	up	0.0578309	-0	died	died	0	-0	died	died	0
ACTA2_prot_YWHAB_prot	ACTA2_prot	YWHAB_prot	ppi	0.0872595	ppi	up	0.0872595	-0	died	died	0	-0	died	died	0
ACTBL2_prot_CUL3_prot	ACTBL2_prot	CUL3_prot	ppi	-0	died	died	0	0.175674	ppi	up	0.175674	-0	died	died	0
ACTBL2_prot_CYP51A1_prot	ACTBL2_prot	CYP51A1_prot	ppi	-0	died	died	0	0.0226852	ppi	up	0.0226852	-0	died	died	0
ACTBL2_prot_MYO6_prot	ACTBL2_prot	MYO6_prot	ppi	-0	died	died	0	0.155779	ppi	up	0.155779	-0	died	died	0
ACTBL2_prot_PFN2_prot	ACTBL2_prot	PFN2_prot	ppi	-0	died	died	0	0.0406921	ppi	up	0.0406921	-0	died	died	0
ACTBL2_prot_PPP1R1B_prot	ACTBL2_prot	PPP1R1B_prot	ppi	-0	died	died	0	0.136137	ppi	up	0.136137	-0	died	died	0
ACTBL2_prot_PRKAA1_prot	ACTBL2_prot	PRKAA1_prot	ppi	-0	died	died	0	0.311684	ppi	up	0.311684	-0	died	died	0
ACTBL2_prot_REG3A_prot	ACTBL2_prot	REG3A_prot	ppi	-0	died	died	0	0.20511	ppi	up	0.20511	-0	died	died	0
ACTB_prot_KRT9_prot	ACTB_prot	KRT9_prot	ppi	0	died	died	0	-0.0410266	ppi	down	0.0410266	0	died	died	0
ADD1_prot_HSPH1_prot	ADD1_prot	HSPH1_prot	ppi	0.193358	ppi	up	0.193358	0	died	died	0	-0.343052	ppi	down	0.343052
ADNP_prot_EMD_prot	ADNP_prot	EMD_prot	ppi	0.191479	ppi	up	0.191479	-0	died	died	0	-0	died	died	0
ADNP_prot_QPRT_prot	ADNP_prot	QPRT_prot	ppi	0.788291	ppi	up	0.788291	0	died	died	0	-0.335406	ppi	down	0.335406
ADNP_prot_SAP18_prot	ADNP_prot	SAP18_prot	ppi	0.0270746	ppi	up	0.0270746	-0	died	died	0	-0	died	died	0
ADNP_prot_SEPT2_prot	ADNP_prot	SEPT2_prot	ppi	0.487075	ppi	up	0.487075	0	died	died	0	-0.294684	ppi	down	0.294684
ADNP_prot_SMARCC1_mrna	ADNP_prot	SMARCC1_mrna	tf	0.184757	tf	up	0.184757	0	died	died	0	-0	died	died	0
ADNP_prot_SMARCC2_prot	ADNP_prot	SMARCC2_prot	ppi	0.148949	ppi	up	0.148949	0	died	died	0	-0	died	died	0
AHCY_prot_ATIC_prot	AHCY_prot	ATIC_prot	ppi	0.269391	ppi	up	0.269391	0	died	died	0	-0.1096	ppi	down	0.1096
AHCY_prot_CUL4B_prot	AHCY_prot	CUL4B_prot	ppi	0.157923	ppi	up	0.157923	0	died	died	0	-0	died	died	0
AHCY_prot_MAPK13_prot	AHCY_prot	MAPK13_prot	ppi	0	died	died	0	0.025886	ppi	up	0.025886	-0.137952	ppi	down	0.137952
AHCY_prot_TBCE_prot	AHCY_prot	TBCE_prot	ppi	0	died	died	0	0	died	died	0	-0.0100916	ppi	down	0.0100916
AHCY_prot_UBA3_prot	AHCY_prot	UBA3_prot	ppi	0.0723197	ppi	up	0.0723197	0	died	died	0	-0	died	died	0
AHCY_prot_YWHAZ_prot	AHCY_prot	YWHAZ_prot	ppi	0.162639	ppi	up	0.162639	-0	died	died	0	-0	died	died	0
AHNAK2_prot_PYCR2_prot	AHNAK2_prot	PYCR2_prot	ppi	0.047074	ppi	up	0.047074	-0	died	died	0	-0	died	died	0
AHSA1_prot_EIF4H_prot	AHSA1_prot	EIF4H_prot	ppi	0.106406	ppi	up	0.106406	-0	died	died	0	-0	died	died	0
AKAP12_prot_PKM_prot	AKAP12_prot	PKM_prot	ppi	0	died	died	0	-0.0396199	ppi	down	0.0396199	0	died	died	0
AKAP2_prot_PRKAR2A_prot	AKAP2_prot	PRKAR2A_prot	ppi	0.0923746	ppi	up	0.0923746	-0	died	died	0	-0	died	died	0
ALB_prot_FN1_prot	ALB_prot	FN1_prot	ppi	-0	died	died	0	-0.153697	ppi	down	0.153697	0	died	died	0
ALB_prot_KRT9_prot	ALB_prot	KRT9_prot	ppi	-0	died	died	0	-0.0737119	ppi	down	0.0737119	0	died	died	0
ALDH3A2_prot_XPO4_prot	ALDH3A2_prot	XPO4_prot	ppi	-0	died	died	0	0.249727	ppi	up	0.249727	-0	died	died	0
ALDH5A1_prot_SSBP1_prot	ALDH5A1_prot	SSBP1_prot	ppi	0.232538	ppi	up	0.232538	-0	died	died	0	-0	died	died	0
ALOX5_prot_NFKB2_prot	ALOX5_prot	NFKB2_prot	ppi	-0	died	died	0	-0.135135	ppi	down	0.135135	0	died	died	0
ANK3_prot_CXADR_mrna	ANK3_prot	CXADR_mrna	tf	0.197367	tf	up	0.197367	-0	died	died	0	-0	died	died	0
ANK3_prot_INADL_mrna	ANK3_prot	INADL_mrna	tf	0.177877	tf	up	0.177877	-0	died	died	0	-0	died	died	0
ANXA1_prot_RPA1_prot	ANXA1_prot	RPA1_prot	ppi	0	died	died	0	-0.0122842	ppi	down	0.0122842	0	died	died	0
ANXA1_prot_YWHAZ_prot	ANXA1_prot	YWHAZ_prot	ppi	0	died	died	0	-0.0285912	ppi	down	0.0285912	0	died	died	0
AP2A1_prot_ARFGAP1_prot	AP2A1_prot	ARFGAP1_prot	ppi	0.0121891	ppi	up	0.0121891	-0	died	died	0	-0	died	died	0
AP2A2_prot_ARFGAP1_prot	AP2A2_prot	ARFGAP1_prot	ppi	0.116087	ppi	up	0.116087	-0	died	died	0	-0	died	died	0
AP2B1_prot_ARFGAP1_prot	AP2B1_prot	ARFGAP1_prot	ppi	0.0901697	ppi	up	0.0901697	-0	died	died	0	-0	died	died	0
AP2B1_prot_ERBB2_prot	AP2B1_prot	ERBB2_prot	ppi	0.0590383	ppi	up	0.0590383	-0	died	died	0	-0	died	died	0
APCS_prot_FN1_prot	APCS_prot	FN1_prot	ppi	-0	died	died	0	-0.175948	ppi	down	0.175948	0	died	died	0
APOA1_prot_FN1_prot	APOA1_prot	FN1_prot	ppi	-0	died	died	0	-0.155183	ppi	down	0.155183	0	died	died	0
APOE_prot_HTRA1_prot	APOE_prot	HTRA1_prot	ppi	-0	died	died	0	-0.170951	ppi	down	0.170951	0	died	died	0
APP_prot_EPB41L1_prot	APP_prot	EPB41L1_prot	ppi	0.0745159	ppi	up	0.0745159	0	died	died	0	-0	died	died	0
ARFGAP1_prot_SPAG9_prot	ARFGAP1_prot	SPAG9_prot	ppi	0.0977968	ppi	up	0.0977968	-0	died	died	0	-0	died	died	0
ARHGAP1_prot_EPB41L1_prot	ARHGAP1_prot	EPB41L1_prot	ppi	0.161808	ppi	up	0.161808	-0	died	died	0	-0	died	died	0
ARHGDIA_prot_IGF2BP1_prot	ARHGDIA_prot	IGF2BP1_prot	ppi	0.0306241	ppi	up	0.0306241	-0	died	died	0	-0	died	died	0
ARHGEF12_prot_VAPB_prot	ARHGEF12_prot	VAPB_prot	ppi	0.205996	ppi	up	0.205996	0	died	died	0	-0.299956	ppi	down	0.299956
ARHGEF1_prot_OGFR_mrna	ARHGEF1_prot	OGFR_mrna	tf	-0	died	died	0	-0	died	died	0	0.0245175	tf	up	0.0245175
ARHGEF1_prot_SAMHD1_mrna	ARHGEF1_prot	SAMHD1_mrna	tf	-0.961439	tf	down	0.961439	-0	died	died	0	1.06445	tf	up	1.06445
ARHGEF7_prot_SCRIB_prot	ARHGEF7_prot	SCRIB_prot	ppi	0.0263528	ppi	up	0.0263528	-0	died	died	0	-0	died	died	0
ARHGEF7_prot_YWHAB_prot	ARHGEF7_prot	YWHAB_prot	ppi	0.0368136	ppi	up	0.0368136	-0	died	died	0	-0	died	died	0
ARPC1B_prot_CHST6_mrna	ARPC1B_prot	CHST6_mrna	tf	-0	died	died	0	-0	died	died	0	0.111171	tf	up	0.111171
ATAD3A_prot_AIFM3_mrna	ATAD3A_prot	AIFM3_mrna	tf	0	died	died	0	0	died	died	0	-0.0355593	tf	down	0.0355593
ATIC_prot_FH_prot	ATIC_prot	FH_prot	ppi	0.0164909	ppi	up	0.0164909	-0	died	died	0	-0	died	died	0
ATIC_prot_IPO5_prot	ATIC_prot	IPO5_prot	ppi	0.141382	ppi	up	0.141382	0	died	died	0	-0	died	died	0
ATIC_prot_MCTS1_prot	ATIC_prot	MCTS1_prot	ppi	0.0187284	ppi	up	0.0187284	-0	died	died	0	-0	died	died	0
