Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
A1BG_prot	A1BG	prot	ANXA7_prot;FDXR_prot;PRDX4_prot;UBR4_prot;UBXN1_prot	5
A1CF_mrna	A1CF	mrna	ITIH2_prot	1
A2M_mrna	A2M	mrna	NFKB1_prot;RELA_prot;STAT1_prot;STAT3_prot;TFCP2_prot	5
A2M_prot	A2M	prot	ACTB_prot;AMBP_prot;ANXA6_prot;ANXA7_prot;AP1M2_prot;APOE_prot;APP_prot;ATP1A1_prot;B2M_prot;CDC37_prot;CDC42_prot;CPB2_prot;DNAJB1_prot;EIF2S3_prot;ENO2_prot;FARSA_prot;FIS1_prot;GALNT12_prot;GCDH_prot;GRB2_prot;H2AFX_prot;HAX1_prot;HMOX2_prot;HSPA5_prot;IFIT3_prot;LONP1_prot;LRP1_prot;MFAP2_prot;MMP2_prot;NUDT21_prot;PRDX2_prot;PSMA7_prot;PTX3_prot;RAP1B_prot;RETN_prot;RHEB_prot;SEPT8_prot;TGM2_prot;TTR_prot;UFD1L_prot;UMPS_prot	41
A4GALT_mrna	A4GALT	mrna	NFKB1_prot;RELA_prot;STAT1_prot;STAT3_prot;TFCP2_prot	5
AAAS_mrna	AAAS	mrna	TBL1XR1_prot	1
AAAS_prot	AAAS	prot	ACSF3_mrna;APRT_mrna;FBXL19_mrna;G6PC3_mrna;ISG15_prot	5
AACS_mrna	AACS	mrna	CHERP_prot	1
AADAC_mrna	AADAC	mrna	CHERP_prot	1
AADAT_mrna	AADAT	mrna	CHERP_prot	1
AAED1_mrna	AAED1	mrna	CHERP_prot	1
AAGAB_mrna	AAGAB	mrna	CHERP_prot	1
AAK1_mrna	AAK1	mrna	CHERP_prot	1
AAMDC_mrna	AAMDC	mrna	RAD21_prot	1
AAMP_mrna	AAMP	mrna	NLE1_prot;PES1_prot	2
AANAT_mrna	AANAT	mrna	NLE1_prot;PES1_prot	2
AAR2_mrna	AAR2	mrna	NLE1_prot;PES1_prot	2
AARD_mrna	AARD	mrna	NLE1_prot;PES1_prot	2
AARS2_mrna	AARS2	mrna	NLE1_prot;PES1_prot	2
AARS2_prot	AARS2	prot	APP_prot;NDUFS7_prot;RBM3_prot;SUCLG1_prot;YWHAQ_prot	5
AARSD1_mrna	AARSD1	mrna	COPS6_prot	1
AARS_mrna	AARS	mrna	NLE1_prot;PES1_prot	2
AARS_prot	AARS	prot	ACTA2_prot;ARPC1B_prot;ASNS_prot;CACYBP_prot;CALU_prot;DARS_prot;DPP9_prot;EEF1B2_prot;EIF4A3_prot;FARSB_prot;GARS_prot;HSP90AA1_prot;HSP90AB1_prot;IARS_prot;LARS_prot;NARS_prot;NIF3L1_prot;NSUN2_prot;PPP2R5E_prot;QARS_prot;SAE1_prot;SRP9_prot;TPD52_prot;TPD52L2_prot;UBA1_prot;WARS_prot;YWHAZ_prot	27
AASDHPPT_mrna	AASDHPPT	mrna	EPRS_prot;SART3_prot	2
AASDH_mrna	AASDH	mrna	COPS6_prot	1
AASS_mrna	AASS	mrna	CALD1_prot	1
AATK_mrna	AATK	mrna	CALD1_prot	1
ABAT_mrna	ABAT	mrna	CALD1_prot	1
ABAT_prot	ABAT	prot	BAG3_prot	1
ABCA10_mrna	ABCA10	mrna	NFKB1_prot;RELA_prot;STAT3_prot;UBTF_prot	4
ABCA12_mrna	ABCA12	mrna	NFKB1_prot;RELA_prot;STAT3_prot;UBTF_prot	4
ABCA13_mrna	ABCA13	mrna	NFKB1_prot;RELA_prot;STAT3_prot;UBTF_prot	4
ABCA1_mrna	ABCA1	mrna	NFKB1_prot;RELA_prot;STAT3_prot;UBTF_prot	4
ABCA2_mrna	ABCA2	mrna	PWP2_prot;STAT3_prot;UBTF_prot	3
ABCA3_mrna	ABCA3	mrna	HDAC1_prot	1
ABCA4_mrna	ABCA4	mrna	HDAC2_prot	1
ABCA5_mrna	ABCA5	mrna	HDAC2_prot	1
ABCA6_mrna	ABCA6	mrna	HDAC2_prot	1
ABCA7_mrna	ABCA7	mrna	HDAC2_prot	1
ABCA8_mrna	ABCA8	mrna	ANK3_prot;MCM5_prot	2
ABCA9_mrna	ABCA9	mrna	ANK3_prot;MCM5_prot	2
ABCB10_mrna	ABCB10	mrna	CLPX_prot;POLR2A_prot;RPAP3_prot	3
ABCB10_prot	ABCB10	prot	LAMTOR2_prot;NDUFA2_prot;NDUFB11_prot;SNX4_prot	4
ABCB11_mrna	ABCB11	mrna	CLPX_prot;POLR2A_prot;RPAP3_prot	3
ABCB1_mrna	ABCB1	mrna	HDAC1_prot;MECP2_prot;NFKB1_prot;RELA_prot;UHRF1_prot;YBX1_prot	6
ABCB1_prot	ABCB1	prot	BCCIP_prot;DHX9_prot;HAX1_prot;LGALS3_prot;PHB2_prot;PSMB8_prot;UBA7_prot	7
ABCB4_mrna	ABCB4	mrna	CLPX_prot;POLR2A_prot;RPAP3_prot	3
ABCB6_mrna	ABCB6	mrna	PDLIM4_prot	1
ABCB7_mrna	ABCB7	mrna	PDLIM4_prot	1
ABCB7_prot	ABCB7	prot	APP_prot;FECH_prot;MTCH1_prot;NDUFB6_prot;PCK1_prot;PDCD6_prot;UQCRC1_prot	7
ABCB8_mrna	ABCB8	mrna	PDLIM4_prot	1
ABCB9_mrna	ABCB9	mrna	PDLIM4_prot	1
ABCC10_mrna	ABCC10	mrna	PDLIM4_prot	1
ABCC11_mrna	ABCC11	mrna	PDLIM4_prot	1
ABCC2_mrna	ABCC2	mrna	PDLIM4_prot	1
ABCC3_mrna	ABCC3	mrna	PDLIM4_prot	1
ABCC4_mrna	ABCC4	mrna	PDLIM4_prot	1
ABCC5_mrna	ABCC5	mrna	PDLIM4_prot	1
ABCC8_mrna	ABCC8	mrna	H1FX_prot	1
ABCC9_mrna	ABCC9	mrna	H1FX_prot	1
ABCD1_mrna	ABCD1	mrna	RAD21_prot	1
ABCD2_mrna	ABCD2	mrna	RAD21_prot	1
ABCD3_mrna	ABCD3	mrna	CANX_prot;CDC5L_prot;COPA_prot;CUL4B_prot;DDX42_prot;DHX9_prot;EIF4A2_prot;EPRS_prot;GLS_prot;KPNA4_prot;NUP133_prot;PSPC1_prot;SPAG9_prot;XRN2_prot	14
ABCD3_prot	ABCD3	prot	AGPS_prot;ATP6V1C1_prot;CUL3_prot;MDC1_prot;MMS19_prot;MRPL41_prot;NDUFB11_prot;NDUFS4_prot;NDUFV1_prot;NNT_prot;PGRMC1_prot;PSMA1_prot;SURF1_prot;SYNJ2BP_prot;TAP1_prot;TOMM40_prot	16
ABCD4_mrna	ABCD4	mrna	CANX_prot;CDC5L_prot;COPA_prot;CUL4B_prot;DDX42_prot;DHX9_prot;EIF4A2_prot;EPRS_prot;GLS_prot;KPNA4_prot;NUP133_prot;PSPC1_prot;SPAG9_prot;XRN2_prot	14
ABCE1_mrna	ABCE1	mrna	DDX18_prot;EIF1AX_prot;EIF2S1_prot;HEATR1_prot;PSMD12_prot;PSMD14_prot;RBM28_prot;RPAP3_prot;SEC23IP_prot;SKIV2L2_prot;SSB_prot;SSBP1_prot;SYNCRIP_prot;TFAM_prot;WDR12_prot;WDR43_prot	16
ABCE1_prot	ABCE1	prot	AP1B1_prot;CUL3_prot;DIABLO_prot;EIF3F_prot;EIF3H_prot;ILK_prot;MMS19_prot;PDIA3_prot;RAD23B_prot;SQSTM1_prot	10
ABCF1_prot	ABCF1	prot	APP_prot;COPS5_prot;DDX1_prot;DHX9_prot;DYNC1I2_prot;EDC4_prot;EIF6_prot;FKBP3_prot;FMNL1_prot;FRYL_prot;HDGF_prot;HNRNPA0_prot;HNRNPA2B1_prot;HNRNPM_prot;HNRNPU_prot;IGF2BP3_prot;ILF2_prot;LYAR_prot;MMS19_prot;MRE11A_prot;NELFB_prot;NMT1_prot;PSMC5_prot;PSMC6_prot;PSMD13_prot;PSMD7_prot;PSMD8_prot;PTBP1_prot;RFC4_prot;RPL27A_prot;RTCB_prot;TBL1XR1_prot;YBX3_prot	33
ABCF2_mrna	ABCF2	mrna	ATAD3A_prot;BOP1_prot;BUB3_prot;COPS3_prot;DARS2_prot;DDX19A_prot;ELAVL1_prot;EPRS_prot;FKBP4_prot;GCN1L1_prot;HEATR1_prot;KARS_prot;MCM4_prot;MRPS17_prot;NOLC1_prot;NUTF2_prot;PA2G4_prot;PDCD11_prot;PFDN2_prot;PPP2R1B_prot;PSMD12_prot;PSMD3_prot;PWP2_prot;RANBP1_prot;RBM28_prot;RFC2_prot;RPA1_prot;RPAP3_prot;RRP12_prot;RUVBL1_prot;SRP72_prot;SSBP1_prot;SSRP1_prot;STIP1_prot;SYNCRIP_prot;TOMM34_prot;TOMM70A_prot;VARS_prot;WDR12_prot;WDR5_prot;XRN2_prot;YBX1_prot	42
ABCF2_prot	ABCF2	prot	GNL1_prot;HADHA_prot;HNRNPA2B1_prot;ISG15_prot;NUDCD1_prot;PSMD4_prot;PTGES2_prot;RAD23B_prot;SNW1_prot;SQSTM1_prot	10
