Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
41bbpathway	the 41bb-dependent immune response	0.021978	13	9	0.692308	3	1
GO:0000082	G1/S transition of mitotic cell cycle	0.998688	153	123	0.803922	889	1
GO:0000165	MAPK cascade	0.994616	250	142	0.568	701	1
GO:0000278	mitotic cell cycle	0.999998	422	317	0.751185	2146	2
GO:0000722	telomere maintenance via recombination	0.373074	27	22	0.814815	63	1
GO:0000723	telomere maintenance	0.203178	66	45	0.681818	113	2
GO:0001525	angiogenesis	2.56352e-09	219	124	0.56621	31	7
GO:0001568	blood vessel development	0.000162226	37	25	0.675676	3	2
GO:0001666	response to hypoxia	0.105175	161	101	0.627329	15	1
GO:0001678	cellular glucose homeostasis	0.0363616	12	9	0.75	5	1
GO:0001932	regulation of protein phosphorylation	0.021978	27	17	0.62963	3	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	0.994065	121	87	0.719008	688	1
GO:0002224	toll-like receptor signaling pathway	0.0472395	109	69	0.633028	47	2
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	0.967255	97	86	0.886598	706	2
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	0.96048	75	66	0.88	676	2
GO:0002576	platelet degranulation	1.12133e-14	83	63	0.759036	74	13
GO:0005975	carbohydrate metabolic process	0.279245	337	184	0.545994	141	2
GO:0006006	glucose metabolic process	0.299322	126	86	0.68254	48	1
GO:0006096	glycolytic process	0.0505341	24	17	0.708333	7	1
GO:0006260	DNA replication	0.507831	130	87	0.669231	366	3
GO:0006271	DNA strand elongation involved in DNA replication	0.497912	33	32	0.969697	226	2
GO:0006281	DNA repair	0.989821	290	197	0.67931	616	1
GO:0006283	transcription-coupled nucleotide-excision repair	0.349393	46	35	0.76087	58	1
GO:0006284	base-excision repair	0.447338	48	37	0.770833	80	1
GO:0006289	nucleotide-excision repair	0.386867	69	48	0.695652	66	1
GO:0006297	nucleotide-excision repair, DNA gap filling	0.283564	17	13	0.764706	45	1
