Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
Di-unsaturated fatty acid beta-oxidation	Di-unsaturated fatty acid beta-oxidation	0.0579791	23	19	0.826087	7	1
GO:0000082	G1/S transition of mitotic cell cycle	0.944903	153	123	0.803922	889	4
GO:0000165	MAPK cascade	0.982752	250	142	0.568	701	2
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.385728	118	100	0.847458	1827	17
GO:0000186	activation of MAPKK activity	0.98468	229	137	0.598253	717	2
GO:0000209	protein polyubiquitination	0.978325	137	94	0.686131	670	2
GO:0000278	mitotic cell cycle	1	422	317	0.751185	2146	2
GO:0000398	mRNA splicing, via spliceosome	0.999476	196	162	0.826531	1393	3
GO:0001649	osteoblast differentiation	0.330463	103	66	0.640777	47	1
GO:0001701	in utero embryonic development	0.238984	210	107	0.509524	32	1
GO:0001843	neural tube closure	0.0335535	78	41	0.525641	4	1
GO:0002181	cytoplasmic translation	0.43075	21	20	0.952381	66	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	0.981014	121	87	0.719008	688	2
GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	0.983379	97	86	0.886598	706	2
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	0.97926	75	66	0.88	676	2
GO:0002576	platelet degranulation	0.468352	83	63	0.759036	74	1
GO:0006281	DNA repair	0.768947	290	197	0.67931	616	4
GO:0006302	double-strand break repair	0.577889	64	53	0.828125	101	1
GO:0006338	chromatin remodeling	0.503475	91	57	0.626374	82	1
GO:0006367	transcription initiation from RNA polymerase II promoter	0.277728	250	157	0.628	122	2
GO:0006397	mRNA processing	0.907228	168	105	0.625	278	1
GO:0006412	translation	0.977923	231	196	0.848485	2321	12
GO:0006413	translational initiation	0.999932	137	123	0.89781	2113	5
GO:0006414	translational elongation	0.988379	95	85	0.894737	1833	8
GO:0006415	translational termination	0.998931	84	77	0.916667	1707	5
GO:0006418	tRNA aminoacylation for protein translation	2.17626e-05	42	39	0.928571	98	7
GO:0006457	protein folding	0.228613	165	113	0.684848	194	3
GO:0006521	regulation of cellular amino acid metabolic process	0.969893	51	45	0.882353	625	2
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.999128	107	98	0.915888	1738	5
GO:0006633	fatty acid biosynthetic process	2.42271e-06	40	25	0.625	4	3
GO:0006635	fatty acid beta-oxidation	0.0499065	37	26	0.702703	6	1
GO:0006915	apoptotic process	0.996357	600	348	0.58	1125	3
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	0.970967	66	57	0.863636	630	2
GO:0006996	organelle organization	1.1242e-06	293	182	0.62116	378	15
GO:0007050	cell cycle arrest	0.00275167	141	78	0.553191	33	3
GO:0007173	epidermal growth factor receptor signaling pathway	0.971444	321	199	0.619938	823	3
GO:0007229	integrin-mediated signaling pathway	0.385266	79	54	0.683544	57	1
GO:0007264	small GTPase mediated signal transduction	0.999037	639	380	0.594679	1310	3
GO:0007265	Ras protein signal transduction	0.987186	241	148	0.614108	741	2
GO:0007411	axon guidance	0.919531	533	286	0.536585	1131	6
GO:0007596	blood coagulation	0.589872	486	273	0.561728	484	4
GO:0008285	negative regulation of cell proliferation	0.218168	385	198	0.514286	103	2
GO:0008286	insulin receptor signaling pathway	0.950718	301	176	0.584718	738	3
GO:0008380	RNA splicing	0.998979	238	179	0.752101	1302	3
GO:0008543	fibroblast growth factor receptor signaling pathway	0.952551	288	174	0.604167	744	3
GO:0009411	response to UV	0.0499065	43	29	0.674419	6	1
