Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0000077	DNA damage checkpoint	0.00888146	28	18	0.642857	3	1
GO:0000209	protein polyubiquitination	0.865191	137	94	0.686131	670	1
GO:0000244	spliceosomal tri-snRNP complex assembly	0.040781	12	10	0.833333	14	1
GO:0000375	RNA splicing, via transesterification reactions	0.0988725	25	17	0.68	35	1
GO:0000398	mRNA splicing, via spliceosome	0.785132	196	162	0.826531	1393	3
GO:0000723	telomere maintenance	0.0447567	66	45	0.681818	113	2
GO:0000724	double-strand break repair via homologous recombination	3.81917e-14	70	38	0.542857	31	8
GO:0005975	carbohydrate metabolic process	0.342816	337	184	0.545994	141	1
GO:0006006	glucose metabolic process	0.133067	126	86	0.68254	48	1
GO:0006094	gluconeogenesis	0.0549413	47	32	0.680851	19	1
GO:0006281	DNA repair	6.39885e-10	290	197	0.67931	616	15
GO:0006302	double-strand break repair	1.44329e-14	64	53	0.828125	101	11
GO:0006310	DNA recombination	0.114818	71	43	0.605634	41	1
GO:0006367	transcription initiation from RNA polymerase II promoter	0.304528	250	157	0.628	122	1
GO:0006412	translation	0.992839	231	196	0.848485	2321	2
GO:0006513	protein monoubiquitination	0.0206015	26	19	0.730769	7	1
GO:0006915	apoptotic process	0.965888	600	348	0.58	1125	1
GO:0006974	cellular response to DNA damage stimulus	1.55392e-05	191	127	0.664921	50	4
GO:0006996	organelle organization	0.000148189	293	182	0.62116	378	7
GO:0007004	telomere maintenance via telomerase	0.000182284	14	10	0.714286	7	2
GO:0007050	cell cycle arrest	0.0934941	141	78	0.553191	33	1
GO:0007062	sister chromatid cohesion	0.0147588	15	12	0.8	5	1
GO:0007093	mitotic cell cycle checkpoint	0.00888146	30	21	0.7	3	1
GO:0007172	signal complex assembly	0.00888146	8	5	0.625	3	1
GO:0007173	epidermal growth factor receptor signaling pathway	0.703581	321	199	0.619938	823	2
GO:0007179	transforming growth factor beta receptor signaling pathway	0.000157007	132	88	0.666667	35	3
GO:0007229	integrin-mediated signaling pathway	0.155981	79	54	0.683544	57	1
GO:0007264	small GTPase mediated signal transduction	0.349333	639	380	0.594679	1310	5
GO:0007265	Ras protein signal transduction	0.647785	241	148	0.614108	741	2
GO:0007411	axon guidance	0.433366	533	286	0.536585	1131	4
GO:0007596	blood coagulation	0.764315	486	273	0.561728	484	1
GO:0008283	cell proliferation	0.411465	352	189	0.536932	178	1
GO:0008285	negative regulation of cell proliferation	0.264023	385	198	0.514286	103	1
GO:0008380	RNA splicing	0.745317	238	179	0.752101	1302	3
GO:0008543	fibroblast growth factor receptor signaling pathway	0.649965	288	174	0.604167	744	2
GO:0010332	response to gamma radiation	0.0118245	33	25	0.757576	4	1
GO:0010467	gene expression	0.999931	854	643	0.752927	5891	5
GO:0012501	programmed cell death	0.909958	158	129	0.816456	804	1
GO:0016032	viral process	0.960132	559	442	0.790698	4048	7
GO:0030168	platelet activation	0.47455	213	126	0.591549	216	1
GO:0030308	negative regulation of cell growth	0.0379238	121	69	0.570248	13	1
GO:0030866	cortical actin cytoskeleton organization	0.0118245	24	19	0.791667	4	1
GO:0031573	intra-S DNA damage checkpoint	0.00888146	11	8	0.727273	3	1
GO:0031954	positive regulation of protein autophosphorylation	2.57272e-08	17	11	0.647059	3	3
GO:0032508	DNA duplex unwinding	0.000290926	46	34	0.73913	43	3
GO:0032543	mitochondrial translation	0.000236889	100	85	0.85	288	6
GO:0032876	negative regulation of DNA endoreduplication	0.0118245	5	5	1	4	1
GO:0033674	positive regulation of kinase activity	2.57272e-08	8	4	0.5	3	3
GO:0038083	peptidyl-tyrosine autophosphorylation	0.0264098	40	22	0.55	9	1
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	0.250751	94	56	0.595745	97	1
GO:0042127	regulation of cell proliferation	0.0176845	147	82	0.557823	6	1
GO:0042493	response to drug	0.334934	308	188	0.61039	137	1
GO:0042752	regulation of circadian rhythm	0.040781	49	32	0.653061	14	1
GO:0042981	regulation of apoptotic process	0.876456	216	121	0.560185	699	1
GO:0043066	negative regulation of apoptotic process	0.676401	477	293	0.614256	1168	3
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.519566	173	99	0.572254	246	1
GO:0044281	small molecule metabolic process	0.969679	1450	832	0.573793	1775	2
GO:0045087	innate immune response	0.479814	849	454	0.534747	1534	5
GO:0045190	isotype switching	0.0118245	15	12	0.8	4	1
GO:0045893	positive regulation of transcription, DNA-templated	0.295163	497	271	0.545272	365	2
GO:0046777	protein autophosphorylation	0.0688938	164	82	0.5	24	1
GO:0048010	vascular endothelial growth factor receptor signaling pathway	0.474134	280	179	0.639286	864	3
GO:0048011	neurotrophin TRK receptor signaling pathway	0.781336	394	241	0.611675	962	2
GO:0048013	ephrin receptor signaling pathway	0.00242257	91	60	0.659341	89	3
GO:0048511	rhythmic process	0.0321838	48	29	0.604167	11	1
GO:0051591	response to cAMP	0.0379238	51	32	0.627451	13	1
GO:0051592	response to calcium ion	0.0293011	55	39	0.709091	10	1
GO:0051897	positive regulation of protein kinase B signaling	0.035058	82	47	0.573171	12	1
GO:0061024	membrane organization	0.442234	159	105	0.660377	196	1
