Pathway	PathAnnotation	HypergeoPval	NumGene_inPathway	NumGenes_inbg	PropPathway	NumEdgesformed_inbg	Enriched_Edgesize
GO:0001525	angiogenesis	0.0768215	219	124	0.56621	31	1
GO:0001568	blood vessel development	0.00770373	37	25	0.675676	3	1
GO:0002223	stimulatory C-type lectin receptor signaling pathway	0.832049	121	87	0.719008	688	1
GO:0002224	toll-like receptor signaling pathway	0.114148	109	69	0.633028	47	1
GO:0002576	platelet degranulation	1.47647e-06	83	63	0.759036	74	5
GO:0005975	carbohydrate metabolic process	0.305046	337	184	0.545994	141	1
GO:0006915	apoptotic process	0.55547	600	348	0.58	1125	3
GO:0006953	acute-phase response	9.13823e-06	38	28	0.736842	16	3
GO:0007229	integrin-mediated signaling pathway	0.00957748	79	54	0.683544	57	2
GO:0007249	I-kappaB kinase/NF-kappaB signaling	0.045347	49	27	0.55102	18	1
GO:0007411	axon guidance	0.559079	533	286	0.536585	1131	3
GO:0007568	aging	0.130003	145	88	0.606897	54	1
GO:0007596	blood coagulation	6.13164e-08	486	273	0.561728	484	11
GO:0008285	negative regulation of cell proliferation	0.233367	385	198	0.514286	103	1
GO:0016032	viral process	0.998497	559	442	0.790698	4048	3
GO:0019221	cytokine-mediated signaling pathway	4.44904e-08	260	156	0.6	273	9
GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	0.0137982	93	62	0.666667	69	2
GO:0022617	extracellular matrix disassembly	1.87217e-12	117	78	0.666667	88	9
GO:0030168	platelet activation	1.6392e-06	213	126	0.591549	216	7
GO:0030198	extracellular matrix organization	2.88658e-15	308	191	0.62013	300	15
GO:0030199	collagen fibril organization	0.000292289	39	26	0.666667	10	2
GO:0030574	collagen catabolic process	4.88498e-15	74	45	0.608108	47	9
GO:0031589	cell-substrate adhesion	0.0178837	17	13	0.764706	7	1
GO:0031663	lipopolysaccharide-mediated signaling pathway	0.000234227	30	25	0.833333	9	2
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.241992	116	81	0.698276	660	3
GO:0034097	response to cytokine	0.000427242	52	35	0.673077	12	2
GO:0034142	toll-like receptor 4 signaling pathway	0.102647	96	63	0.65625	42	1
GO:0035987	endodermal cell differentiation	0.045347	27	21	0.777778	18	1
GO:0038061	NIK/NF-kappaB signaling	0.822594	67	60	0.895522	667	1
GO:0042493	response to drug	0.297825	308	188	0.61039	137	1
GO:0042730	fibrinolysis	0.0153485	21	17	0.809524	6	1
GO:0043066	negative regulation of apoptotic process	0.0823169	477	293	0.614256	1168	6
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	0.0720472	155	97	0.625806	29	1
GO:0043434	response to peptide hormone	6.55053e-05	43	28	0.651163	5	2
GO:0044281	small molecule metabolic process	0.990408	1450	832	0.573793	1775	1
GO:0045087	innate immune response	0.0456297	849	454	0.534747	1534	8
GO:0045893	positive regulation of transcription, DNA-templated	0.000389029	497	271	0.545272	365	6
GO:0048661	positive regulation of smooth muscle cell proliferation	0.0153485	51	32	0.627451	6	1
GO:0050728	negative regulation of inflammatory response	0.02796	72	40	0.555556	11	1
GO:0050900	leukocyte migration	0.0213518	114	72	0.631579	87	2
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.0102332	127	70	0.551181	59	2
GO:0051918	negative regulation of fibrinolysis	0.0128068	9	9	1	5	1
GO:0060333	interferon-gamma-mediated signaling pathway	2.01353e-08	77	54	0.701299	32	5
GO:0060337	type I interferon signaling pathway	0.0815714	71	38	0.535211	33	1
GO:0070208	protein heterotrimerization	9.80917e-05	10	5	0.5	6	2
