Gene	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00F	TCGA-AA-A00J	TCGA-AA-A00K	TCGA-AA-A00N	TCGA-AA-A00O	TCGA-AA-A00R	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01I	TCGA-AA-A01K	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02R	TCGA-AF-2691	TCGA-AF-2692	TCGA-AF-3400	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3580	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-3594	TCGA-AG-4007	TCGA-AG-A002	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A014	TCGA-AG-A015	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01L	TCGA-AG-A01N	TCGA-AG-A02X	TCGA-AG-A032
A1BG	-0.342421	0.715669	1.47348	-1.19667	0.0412109	-0.577732	-0.138585	0.715669	-0.138585	-0.577732	0.347535	0.0412109	-1.19667	-0.342421	0.820987	-1.19667	0.202044	0.202044	-0.577732	-0.138585	1.0993	-0.856046	1.26013	0.602543	0.715669	0.202044	0.602543	0.480358	1.63099	0.715669	0.820987	0.602543	1.47348	0.602543	0.347535	0.715669	-0.856046	-0.856046	-0.577732	0.715669	0.480358	0.480358	0.820987	-0.856046	1.47348	-2.25476	0.820987	1.87908	0.602543	-3.31285	0.202044	-0.856046	0.0412109	0.0412109	-3.31285	-0.342421	0.347535	-1.19667	-0.237103	0.480358	-0.138585	0.202044	-0.138585	-1.63582	0.480358	0.202044	-0.856046	0.202044	-1.19667
A2M	1.42514	-0.256854	1.5959	-0.320489	0.0591188	-0.10661	-0.225828	0.605709	0.259527	0.161996	0.136801	-0.256854	0.136801	-0.386357	0.211395	0.524963	0.683124	0.306456	0.931397	0.211395	0.545478	-1.26857	0.605709	0.211395	0.914712	-0.454621	0.374719	0.923073	0.555651	0.440587	0.223544	0.111262	0.483249	0.161996	0.136801	0.235615	-0.10661	-0.675705	-0.56191	1.70901	1.19446	-1.97677	-0.637001	0.00548528	1.12084	-1.55792	0.283138	1.5959	-1.16427	-4.03892	-0.926349	0.306456	0.0591188	1.66458	-1.26857	0.775608	0.0324936	-2.319	0.595803	0.259527	-0.59908	1.27915	-0.882181	-1.90015	0.996692	-0.675705	-1.32299	-0.525461	-0.637001
AAAS	0.148786	-0.545168	0.148786	-0.545168	0.641155	0.148786	1.59894	-1.73149	1.59894	0.148786	1.59894	1.02307	0.148786	0.641155	-1.73149	1.02307	-0.545168	0.641155	-0.545168	1.33511	-1.73149	0.148786	-1.73149	1.33511	-0.545168	1.02307	1.02307	-1.73149	-0.545168	-0.545168	0.641155	1.02307	-1.73149	0.641155	-1.73149	-1.73149	0.641155	-0.545168	-1.73149	-0.545168	0.148786	-0.545168	-0.545168	-0.545168	-1.73149	0.148786	0.641155	-0.545168	-0.545168	0.148786	1.59894	-0.545168	-1.73149	0.148786	0.148786	0.148786	1.02307	0.641155	-0.163257	-0.545168	0.641155	1.59894	-0.545168	0.641155	0.641155	0.148786	1.02307	1.02307	0.641155
AACS	0.803925	-1.04156	0.122811	-1.04156	-1.04156	0.122811	-1.04156	-1.04156	1.28718	0.122811	0.122811	1.9683	1.28718	1.28718	-1.04156	1.28718	-1.04156	-1.04156	0.122811	1.66203	-1.04156	0.122811	0.803925	0.122811	1.66203	0.803925	1.28718	-1.04156	-1.04156	1.28718	-1.04156	0.803925	-1.04156	1.66203	-1.04156	-1.04156	-1.04156	0.122811	0.803925	0.122811	1.28718	-1.04156	-1.04156	0.803925	-1.04156	-1.04156	0.122811	0.803925	-1.04156	0.122811	-1.04156	0.122811	-1.04156	-1.04156	0.122811	0.803925	0.122811	1.28718	0.803925	1.66203	0.122811	-1.04156	1.28718	0.122811	-1.04156	0.803925	-1.04156	-1.04156	-1.04156
AARS	-0.289118	0.0509914	0.255751	-0.412888	0.0509914	0.946199	0.707779	-0.289118	-0.289118	0.155341	0.707779	1.30147	1.49388	0.445873	0.255751	1.43128	-4.23103	-0.170851	1.30147	0.53607	0.0509914	0.445873	0.155341	-0.897967	1.30147	0.0509914	-0.0576183	-0.750119	-0.97509	0.707779	0.869075	-0.289118	-0.170851	0.707779	0.53607	-1.3081	-1.3081	0.707779	0.0509914	-1.49166	1.30147	0.35251	-0.823016	-0.412888	-0.679167	-1.13639	0.946199	-0.823016	0.62331	1.23411	0.62331	0.35251	-0.170851	1.02115	-0.97509	0.0509914	0.255751	-2.13328	0.749029	0.255751	-0.289118	1.09405	1.165	-0.170851	-0.412888	-0.412888	0.155341	-1.90178	-2.13328
AARS2	0.143167	0.143167	-0.489793	-1.57184	0.592259	0.143167	0.940602	-1.57184	0.940602	0.143167	2.02265	-1.57184	1.85818	-0.489793	-0.489793	-1.57184	-1.57184	0.143167	0.940602	-0.489793	0.143167	0.940602	2.17144	-0.14145	-1.57184	0.143167	1.46586	0.143167	0.592259	2.65561	0.383807	0.940602	-1.57184	0.143167	-0.489793	-1.57184	0.592259	0.592259	-0.489793	0.143167	0.143167	1.46586	0.592259	0.143167	-0.489793	0.940602	0.143167	-1.57184	-1.57184	-0.489793	0.143167	-0.489793	-0.489793	-1.57184	-0.489793	-0.489793	0.143167	0.143167	0.143167	0.592259	0.592259	-0.489793	0.143167	0.143167	-0.489793	0.143167	1.67431	-0.489793	-1.57184
ABAT	-1.07585	1.38771	-1.07585	-0.19831	-0.19831	0.315016	1.38771	0.315016	-1.07585	-1.07585	0.961729	-1.07585	-1.07585	-1.07585	0.679226	-0.19831	-0.19831	-0.19831	-1.07585	-0.19831	-0.19831	1.38771	-0.19831	-0.19831	-1.07585	0.315016	0.315016	-1.07585	-1.07585	3.95061	-1.07585	-0.19831	0.315016	0.961729	0.961729	-1.07585	-0.19831	0.315016	0.315016	0.961729	-1.07585	0.961729	2.7168	-1.07585	-0.19831	-0.19831	0.315016	-1.07585	-1.07585	-0.19831	-0.19831	0.679226	0.961729	-1.07585	1.19255	-1.07585	-1.07585	-0.19831	0.315016	0.315016	-0.19831	1.19255	-0.19831	1.70588	-0.19831	-0.19831	0.679226	-1.07585	0.679226
ABCB1	-0.724343	-0.724343	-0.724343	-0.724343	-0.724343	-0.724343	1.98443	0.630043	0.630043	-0.724343	-0.724343	-0.724343	-0.724343	-0.724343	1.42231	-0.724343	-0.724343	0.630043	-0.724343	-0.724343	1.42231	-0.724343	1.42231	0.630043	-0.724343	0.630043	-0.724343	1.42231	1.42231	-0.724343	-0.724343	-0.724343	0.630043	-0.724343	0.630043	-0.724343	-0.724343	0.630043	-0.724343	-0.724343	2.77669	0.630043	-0.724343	-0.724343	-0.724343	0.630043	0.630043	0.630043	-0.724343	-0.724343	-0.724343	3.0779	0.630043	0.630043	-0.724343	-0.724343	-0.724343	-0.724343	0.630043	-0.724343	-0.724343	-0.724343	0.630043	0.630043	0.630043	-0.724343	2.77669	0.630043	-0.724343
ABCB10	0.68853	0.68853	0.68853	-0.668921	-0.668921	0.68853	1.48259	-0.668921	-0.668921	-0.668921	-0.668921	1.48259	2.48298	-0.668921	-0.668921	-0.668921	-0.668921	-0.668921	0.68853	-0.668921	-0.668921	-0.668921	-0.668921	1.48259	-0.668921	-0.668921	2.04598	-0.668921	-0.668921	2.84004	0.68853	-0.668921	-0.668921	-0.668921	-0.668921	-0.668921	2.04598	0.68853	-0.668921	-0.668921	0.68853	0.68853	1.48259	-0.668921	-0.668921	2.04598	-0.668921	-0.668921	-0.668921	-0.668921	-0.668921	0.68853	-0.668921	-0.668921	-0.668921	-0.668921	-0.668921	0.68853	-0.668921	1.48259	-0.668921	0.68853	1.48259	-0.668921	-0.668921	-0.668921	1.48259	-0.668921	-0.668921
ABCB7	0.545554	0.545554	-0.502737	-1.55103	0.110474	-0.502737	1.77198	0.110474	0.545554	0.110474	0.110474	0.110474	1.15877	-0.502737	0.545554	-0.502737	-1.55103	-1.55103	1.93132	-1.55103	-0.502737	0.110474	0.545554	0.343606	-0.502737	0.545554	0.545554	-0.502737	-1.55103	1.59385	0.110474	-0.502737	-1.55103	0.883028	0.545554	-1.55103	1.15877	2.07546	-1.55103	-0.502737	-1.55103	0.545554	0.545554	-0.502737	-1.55103	1.3919	0.883028	-0.502737	0.545554	-0.502737	-1.55103	0.110474	-0.502737	0.883028	0.110474	-0.502737	0.110474	1.77198	0.343606	1.15877	0.545554	1.3919	-0.502737	0.545554	-0.502737	0.110474	1.15877	-1.55103	-1.55103
