Gene	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3848	TCGA-AA-A00F	TCGA-AA-A00O	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01F	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AF-2692	TCGA-AF-3913	TCGA-AG-3574	TCGA-AG-3584	TCGA-AG-3593	TCGA-AG-4007	TCGA-AG-A014	TCGA-AG-A016	TCGA-AG-A01J	TCGA-AG-A01N	TCGA-AG-A032	TCGA-AA-3552	TCGA-AA-3561	TCGA-AA-3666	TCGA-AA-3818	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00K	TCGA-AA-A00U	TCGA-AA-A01I	TCGA-AA-A024	TCGA-AA-A029	TCGA-AF-2691	TCGA-AG-3580	TCGA-AG-A008	TCGA-AG-A00C	TCGA-AG-A00H	TCGA-AG-A00Y	TCGA-AG-A011	TCGA-AG-A015	TCGA-AG-A01L	TCGA-AG-A02X	TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3554	TCGA-AA-3664	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3864	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00J	TCGA-AA-A00N	TCGA-AA-A00R	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01K	TCGA-AA-A02R	TCGA-AF-3400	TCGA-AG-3594	TCGA-AG-A002
A1BG	2.58496250072116	3	3.8073549220576	2.58496250072116	3.32192809488736	3.8073549220576	3.70043971814109	3.4594316186373	2.32192809488736	3.58496250072116	3.90689059560852	2.32192809488736	3.90689059560852	3.70043971814109	0	2.32192809488736	3.16992500144231	0	3.32192809488736	1.58496250072116	3.58496250072116	2.32192809488736	2	3	3.4594316186373	2	3.32192809488736	4.16992500144231	2.32192809488736	3.58496250072116	3.70043971814109	2.32192809488736	3.8073549220576	3.58496250072116	1	3.32192809488736	3.4594316186373	2	2.90689059560852	3.58496250072116	3	3	3.32192809488736	3.32192809488736	2.8073549220576	3.8073549220576	4.52356195605701	2	3.16992500144231	2.58496250072116	3.16992500144231	2.8073549220576	3.90689059560852	2	3.32192809488736	3	4.32192809488736	3.70043971814109	3.8073549220576	3.70043971814109	4.6724253419715	3.90689059560852	4.52356195605701	3.8073549220576	2.58496250072116	4.52356195605701	4.90689059560852	3.16992500144231	2.8073549220576
A2M	6.02236781302845	5.93073733756289	6.56985560833095	6.82017896241519	5.75488750216347	6.44294349584873	6.22881869049588	6.20945336562895	6.02236781302845	4.58496250072116	5.61470984411521	6.10852445677817	6.32192809488736	5.20945336562895	3	6.33985000288462	6.14974711950468	5.12928301694497	7.08746284125034	4.64385618977472	6.8703647195834	5.08746284125034	5.61470984411521	6.3037807481771	6.20945336562895	6.20945336562895	6.33985000288462	6.52356195605701	5.12928301694497	6.81378119121704	6.18982455888002	5.58496250072116	7.4178525148859	7.02236781302845	4.90689059560852	5.39231742277876	6.12928301694497	4.32192809488736	6.56224242422107	6.3037807481771	5.64385618977472	5.4262647547021	5.58496250072116	5.70043971814109	7.19967234483636	5.90689059560852	7.33091687811462	5.85798099512757	6.14974711950468	6.22881869049588	5.90689059560852	5.8073549220576	6.2667865406949	6.5077946401987	6.62935662007961	6.2667865406949	6.56985560833095	6.2667865406949	6.8073549220576	6.39231742277876	6.53138146051631	6.27612440527424	6.4757334309664	6.28540221886225	5.6724253419715	6.96578428466209	7.33091687811462	7.38370429247405	6.70043971814109
AAAS	1.58496250072116	2.8073549220576	0	1	2.32192809488736	1	2	0	2	1	1	1	2	1	1.58496250072116	1	0	1.58496250072116	2.8073549220576	2	2	2.32192809488736	2	2.8073549220576	2.8073549220576	1.58496250072116	2	0	1.58496250072116	0	2.32192809488736	1	1	1.58496250072116	1.58496250072116	2.8073549220576	2.32192809488736	2	1.32192809488736	1	2	1	1.58496250072116	2.32192809488736	1.58496250072116	1	1.58496250072116	1	2	1.58496250072116	2.32192809488736	2	0	2.32192809488736	1	2.58496250072116	0	2.58496250072116	1	2.32192809488736	1	2	0	0	0	0	1	1.58496250072116	1.58496250072116
AACS	1	0	0	1	1.58496250072116	2	2.32192809488736	0	0	0	0	1.58496250072116	1	0	1	1	0	1	0	1	0	0	0	2	1	2	0	0	1	0	1.58496250072116	1	1	2	0	0	1	2	1.58496250072116	2.32192809488736	1	2	1.58496250072116	0	1.58496250072116	0	1	0	0	1	2.58496250072116	2	0	2	0	2.32192809488736	1.58496250072116	1	2.32192809488736	2	0	0	0	0	1.58496250072116	0	1.58496250072116	0	1.58496250072116
AARS	5.12928301694497	5	4.4594316186373	5.32192809488736	4.64385618977472	5	5	4.90689059560852	3.90689059560852	4.8073549220576	4.16992500144231	4.39231742277876	5.12928301694497	4.95419631038687	5.28540221886225	4.8073549220576	4.52356195605701	4.08746284125034	5.20945336562895	4.52356195605701	4.39231742277876	4.70043971814109	3.4594316186373	4.4594316186373	5	5.4262647547021	4.52356195605701	4.64385618977472	4.85798099512757	4.20945336562895	4.4594316186373	5	3.8073549220576	5.32192809488736	4	4.95419631038687	4.75488750216347	3.4594316186373	5.02236781302845	4.75488750216347	4.4594316186373	5.24792751344359	4.39231742277876	3.58496250072116	4.4594316186373	4.64385618977472	4.75488750216347	4.39231742277876	4.64385618977472	4.70043971814109	5.32192809488736	4.85798099512757	4.75488750216347	5.39231742277876	2.32192809488736	4.90689059560852	4.70043971814109	4.12928301694497	5.32192809488736	4.58496250072116	4.08746284125034	5.08746284125034	4.52356195605701	3.90689059560852	4.64385618977472	4.24792751344359	4.16992500144231	5.16992500144231	4.64385618977472
AARS2	1.58496250072116	2.32192809488736	0	2.32192809488736	1.58496250072116	3.90689059560852	1.58496250072116	1	2	2.8073549220576	2	1.58496250072116	1.58496250072116	0	1	1	1	1	1	1.58496250072116	1	3	0	2.32192809488736	3.32192809488736	3.16992500144231	1.58496250072116	1.58496250072116	2.32192809488736	1.58496250072116	2.32192809488736	2	1.58496250072116	1.58496250072116	2.32192809488736	1.58496250072116	1.58496250072116	1.58496250072116	1.58496250072116	2	2	1.58496250072116	1.58496250072116	1	1.58496250072116	1.58496250072116	1	0	2	1.58496250072116	0	1	1	0	0	1	3.4594316186373	1.32192809488736	0	2.8073549220576	2	1.8073549220576	0	0	1	1	0	0	1
ABAT	1.58496250072116	2.8073549220576	1.58496250072116	0	1.58496250072116	5.7279204545632	2.32192809488736	2.32192809488736	1	2.32192809488736	4.32192809488736	0	1.58496250072116	0	1	2	2.32192809488736	2.58496250072116	2.58496250072116	3.16992500144231	1	2	2	0	2.32192809488736	0	1	1	2.8073549220576	0	1	1.58496250072116	2.32192809488736	0	1	1	0	1	1.58496250072116	1.58496250072116	1	1	1	0	0	2.8073549220576	0	1	1	0	0	0	2	1	1	1	1	1	0	1.58496250072116	0	0	1.58496250072116	0	1.58496250072116	1	0	0	0
ABCB1	0	2	1	0	1	0	0	1	0	1	0	0	1	0	0	2.8073549220576	1	0	0	1	1	2.58496250072116	0	1	0	0	1	1.58496250072116	0	1.58496250072116	0	1	0	2.58496250072116	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1.58496250072116	0	0	0	1.58496250072116	1	0	0	1.58496250072116	0	1	0	0	0	1	1	0
ABCB10	1	1.58496250072116	0	1	0	2.58496250072116	0	0	2	1	1.58496250072116	0	0	0	0	1	0	0	1	0	0	1.58496250072116	0	0	0	2.32192809488736	0	0	0	0	0	1	0	1	2	0	0	1	0	1.58496250072116	0	1.58496250072116	0	0	1	1	1	0	0	0	1.58496250072116	0	0	0	0	0	0	1.58496250072116	0	2	0	1	0	0	0	0	0	0	0
ABCB7	1	3.16992500144231	1.58496250072116	3.32192809488736	2	3	2.32192809488736	2	2.58496250072116	2	2	1	2.32192809488736	2	1	1.58496250072116	1	1.58496250072116	2.8073549220576	2	1	2.58496250072116	0	2	1.58496250072116	2.58496250072116	0	1	1.58496250072116	1	1	3.4594316186373	1	0	2.8073549220576	0	1.58496250072116	3.16992500144231	1.8073549220576	2.58496250072116	2	1	1.58496250072116	0	2	2	1	0	1.58496250072116	1.58496250072116	1.58496250072116	1	2	1	0	0	2	1.8073549220576	1	2	0	1.58496250072116	0	0	0	0	1	2.32192809488736	1
ABCC3	0	0	2.32192809488736	1.58496250072116	2	0	0	2.8073549220576	0	0	1	0	2.58496250072116	1	0	1	0	1	0	0	0	0	0	1.58496250072116	0	1	0	0	0	1	1	2.32192809488736	3	1	0	2	2	0	3	3	2.32192809488736	2	2	2	2.8073549220576	0	0	1	1.58496250072116	1.58496250072116	1	0	3.4594316186373	2.32192809488736	0	1.58496250072116	2.32192809488736	2	2.58496250072116	0	0	0	3	0	1	1	0	3.16992500144231	2
ABCD3	3.58496250072116	3.32192809488736	2.32192809488736	3.4594316186373	2	4	3.32192809488736	3	2.32192809488736	2.8073549220576	1.58496250072116	2.32192809488736	2.8073549220576	2.58496250072116	3.58496250072116	3	1.58496250072116	2.32192809488736	2.32192809488736	2.8073549220576	2	3.32192809488736	1	3.70043971814109	2.8073549220576	4	1.58496250072116	2.8073549220576	3.32192809488736	1.8073549220576	3.4594316186373	3	3	3.90689059560852	2.58496250072116	3.58496250072116	3	2.32192809488736	2.8073549220576	2.8073549220576	3	2.8073549220576	2.8073549220576	2.32192809488736	3.4594316186373	2	2.58496250072116	2.58496250072116	3	3	2.58496250072116	3.16992500144231	2.58496250072116	2.32192809488736	1	3.16992500144231	2.8073549220576	2.16992500144231	3.4594316186373	3	0	2	2.8073549220576	1	2.32192809488736	2	2.32192809488736	3.32192809488736	2.58496250072116
ABCE1	4.4594316186373	4	3.32192809488736	4.58496250072116	4.16992500144231	4.08746284125034	4.85798099512757	4.08746284125034	3.70043971814109	3.70043971814109	3.90689059560852	4.16992500144231	3.90689059560852	4	4.52356195605701	4.08746284125034	3.70043971814109	3.90689059560852	4	3.4594316186373	4	4	3.90689059560852	4.08746284125034	4.58496250072116	3.8073549220576	4.16992500144231	3.70043971814109	4.24792751344359	3.4594316186373	4.95419631038687	4.08746284125034	3.4594316186373	4.52356195605701	3.70043971814109	4.4594316186373	3.70043971814109	3.8073549220576	4.08746284125034	5.16992500144231	4	4.24792751344359	3.32192809488736	3	4.4594316186373	3	4.08746284125034	3.58496250072116	3.58496250072116	3.90689059560852	4.32192809488736	4.08746284125034	3.70043971814109	4.16992500144231	2.58496250072116	4.52356195605701	4	3.85798099512757	4.8073549220576	3.32192809488736	3	4.32192809488736	3.16992500144231	3.16992500144231	3.8073549220576	3.70043971814109	2.58496250072116	3.90689059560852	3.90689059560852
ABCF1	2.8073549220576	3.32192809488736	2.58496250072116	3.70043971814109	2.8073549220576	2	3.32192809488736	3.16992500144231	2.8073549220576	3.58496250072116	2.8073549220576	3.16992500144231	3.16992500144231	3.32192809488736	2.32192809488736	2	2.58496250072116	2.32192809488736	3	3	2.32192809488736	2.58496250072116	2.32192809488736	3.8073549220576	1.58496250072116	3	2.58496250072116	2.32192809488736	4.16992500144231	1.58496250072116	3.70043971814109	3.32192809488736	2.32192809488736	3	3.16992500144231	2.58496250072116	3.4594316186373	2.8073549220576	3.24792751344359	3.58496250072116	2.32192809488736	3.16992500144231	3.16992500144231	2.58496250072116	2.32192809488736	2.32192809488736	2.58496250072116	2.32192809488736	3.32192809488736	3	3.4594316186373	2	2.32192809488736	3.16992500144231	2	3.58496250072116	2	2.32192809488736	3.70043971814109	2.32192809488736	1.32192809488736	2.16992500144231	2.58496250072116	2	2.32192809488736	2	1	2.58496250072116	2.32192809488736
ABCF2	1	1.58496250072116	0	1	0	0	2.32192809488736	1.58496250072116	1	2	0	1	2	0	0	3.16992500144231	0	0	2.58496250072116	1	0	3	0	1.58496250072116	0	1.58496250072116	1	0	1	0	3	1	0	2.32192809488736	0	1.58496250072116	1	0	1.8073549220576	2.32192809488736	0	1	0	0	1.58496250072116	1	0	0	2.32192809488736	1.58496250072116	2.32192809488736	0	1	0	0	2.8073549220576	0	1.32192809488736	2.32192809488736	1	1	2.16992500144231	0	0	1	0	0	1	0
ABCF3	1.58496250072116	2.58496250072116	0	1.58496250072116	1	1.58496250072116	2.58496250072116	1.58496250072116	1.58496250072116	2	1.58496250072116	0	1.58496250072116	1.58496250072116	1	1.58496250072116	2.58496250072116	1.58496250072116	2	2.32192809488736	1.58496250072116	2	1	2.32192809488736	2	2	1	1.58496250072116	1.58496250072116	1	2	1	1.58496250072116	2	1	2.58496250072116	1.58496250072116	1.58496250072116	1.8073549220576	2	2.32192809488736	2	1.58496250072116	1	1.58496250072116	1	2.32192809488736	2	1.58496250072116	2	2.32192809488736	1	1	1.58496250072116	1	1.58496250072116	2	1.58496250072116	2.32192809488736	1.58496250072116	1	1.32192809488736	1	0	1.58496250072116	1	0	2	1
ABHD10	3	3.4594316186373	2.32192809488736	3.58496250072116	3	4	3.58496250072116	2.8073549220576	3	3.16992500144231	3.58496250072116	2.8073549220576	3.32192809488736	3.58496250072116	2.58496250072116	3.32192809488736	3.4594316186373	2.32192809488736	3.4594316186373	2.8073549220576	2.58496250072116	2.8073549220576	3	3	2.32192809488736	4.16992500144231	2.58496250072116	2.8073549220576	3.32192809488736	1.58496250072116	3	3.32192809488736	3	3.16992500144231	3	3.16992500144231	3.4594316186373	2.58496250072116	2.58496250072116	3	3.16992500144231	3.58496250072116	2.8073549220576	1.58496250072116	3.32192809488736	3	3.32192809488736	3.16992500144231	2.58496250072116	2.58496250072116	2.58496250072116	3.58496250072116	2.58496250072116	2.32192809488736	2	3.16992500144231	3	2.4594316186373	2.8073549220576	3.70043971814109	1	3.08746284125034	2.8073549220576	2.8073549220576	2.58496250072116	3.70043971814109	1	2.8073549220576	3.4594316186373
ABHD11	3.58496250072116	3.32192809488736	2.58496250072116	4	4.24792751344359	3.58496250072116	4.32192809488736	4	4.32192809488736	3.58496250072116	4.52356195605701	2.58496250072116	3.32192809488736	5	1.58496250072116	4.52356195605701	2.58496250072116	2.8073549220576	4.24792751344359	2.32192809488736	4.24792751344359	3.70043971814109	3.16992500144231	3.32192809488736	2.8073549220576	4.24792751344359	2.58496250072116	1.58496250072116	3.90689059560852	2	2.58496250072116	2	2.8073549220576	4.24792751344359	3.32192809488736	2.32192809488736	2.8073549220576	2.8073549220576	3.32192809488736	4.08746284125034	3.4594316186373	4	3.16992500144231	2	4.08746284125034	2	3.58496250072116	3	2.58496250072116	2.8073549220576	3.16992500144231	3.32192809488736	3.90689059560852	4.08746284125034	1.58496250072116	3.4594316186373	3.90689059560852	3.75488750216347	3	4.08746284125034	2	2.90689059560852	3.8073549220576	1.58496250072116	2.8073549220576	3.8073549220576	3.90689059560852	3.4594316186373	2.58496250072116
ABHD12	2.32192809488736	1	1	1.58496250072116	1.58496250072116	1.58496250072116	3	2	1.58496250072116	2.32192809488736	3	0	2	1.58496250072116	2.32192809488736	0	2	1.58496250072116	2	1	1	1.58496250072116	2.58496250072116	3.16992500144231	1.58496250072116	2.32192809488736	1	1	2.8073549220576	1	2.32192809488736	2	1.58496250072116	2	1	2.58496250072116	1	2	1.58496250072116	2.32192809488736	1	0	2	1	2	2.32192809488736	1.58496250072116	1	2	1	2	1	1	1	1	1.58496250072116	1	2.70043971814109	0	2	1	2.16992500144231	0	0	1.58496250072116	1	1	0	1.58496250072116
